FIPS,Deaths
01001,6
01003,9
01005,4
01007,1
01009,4
01011,1
01013,2
01015,18
01017,0
01019,0
01021,5
01023,1
01025,1
01027,3
01029,2
01031,13
01033,6
01035,2
01037,1
01039,7
01041,0
01043,8
01045,6
01047,9
01049,5
01051,9
01053,5
01055,14
01057,1
01059,-1
01061,6
01063,0
01065,2
01067,0
01069,9
01071,4
01073,53
01075,4
01077,13
01079,2
01081,9
01083,8
01085,1
01087,3
01089,25
01091,2
01093,6
01095,9
01097,35
01099,1
01101,29
01103,8
80001,0
01105,1
01107,3
01109,1
01111,3
01113,4
01117,9
01115,13
01119,0
01121,10
01123,5
01125,13
90001,0
01127,3
01129,0
01131,3
01133,0
02013,0
02016,0
02020,5
02050,1
02060,0
02164,0
02063,0
02066,0
02068,0
02070,0
02090,7
02100,0
02110,0
02122,0
02130,0
02150,1
02158,0
02170,13
02180,0
02185,0
02188,0
02195,0
02198,1
02220,1
02230,0
02240,1
90002,0
02261,0
02275,0
02282,0
02290,0
04001,8
04003,9
04005,2
04007,2
04009,7
04011,0
04012,-2
04013,404
04015,37
04017,20
80004,0
04019,32
04021,35
04023,4
90004,0
04025,25
04027,15
05001,2
05003,1
05005,1
05007,9
05009,0
05011,1
05013,0
05015,1
05017,0
05019,0
05021,2
05023,0
05025,0
05027,1
05029,2
05031,8
05033,1
05035,1
05037,1
05039,1
05041,-1
05043,2
05045,5
05047,1
05049,0
05051,5
05053,4
05055,3
05057,0
05059,5
05061,0
05063,1
05065,1
05067,0
05069,4
05071,0
05073,0
05075,0
05077,3
05079,0
05081,1
05083,3
05085,6
05087,0
05089,0
05091,1
05093,3
05095,1
05097,0
05099,0
05101,0
05103,2
05105,1
05107,6
05109,1
05111,0
05113,2
05115,4
05117,1
05119,25
05121,1
05125,7
05127,0
05129,0
05131,13
05133,0
05135,2
05123,2
05137,1
90005,0
05139,1
05141,1
05143,10
05145,6
05147,1
05149,1
06001,-14
06003,0
06005,0
06007,3
06009,5
06011,1
06013,18
06015,2
06017,3
06019,49
06021,3
06023,13
06025,18
06027,-1
06029,53
06031,-1
06033,13
06035,1
06037,579
06039,5
06041,4
06043,0
06045,3
06047,25
06049,1
06051,0
06053,113
06055,0
06057,2
06059,159
06061,12
06063,0
06065,123
06067,74
06069,0
06071,323
06073,74
06075,17
06077,84
06079,2
06081,126
06083,3
06085,102
06087,1
06089,7
06091,0
06093,18
06095,19
06097,-2
06099,244
06101,4
06103,10
06105,0
06107,18
06109,3
90006,0
06111,27
06113,5
06115,7
08001,47
08003,7
08005,45
08007,2
08009,0
08011,1
08013,5
08014,1
08015,0
08017,0
08019,0
08021,11
08023,3
08025,2
08027,1
08029,6
08031,37
08033,1
08035,12
08037,1
08041,83
08039,1
08043,8
08045,12
08047,0
08049,0
08051,0
08053,0
08055,0
08057,0
08059,54
08061,0
08063,0
08067,2
08065,0
08069,16
08071,3
08073,0
08075,2
08077,38
08079,0
08081,4
08083,1
08085,8
08087,3
08089,3
08091,0
80008,0
08093,0
08095,0
08097,0
08099,1
08101,41
08103,1
08105,2
08107,1
08109,1
08111,0
08113,1
08115,1
08117,1
08119,4
90008,0
08121,1
08123,17
08125,0
09001,37
09003,45
09005,5
09007,12
09009,62
09011,10
09013,5
90009,1
09015,4
10001,15
10003,37
10005,16
90010,0
88888,0
11001,36
12001,10
12003,2
12005,8
12007,2
12009,53
12011,177
12013,2
12015,21
12017,19
12019,12
12021,23
12023,1
12027,4
12029,0
12031,92
12033,27
12035,3
12037,3
12039,5
12041,1
12043,0
12045,3
12047,0
12049,2
12051,5
12053,23
12055,15
12057,121
12059,0
12061,7
12063,2
12065,1
12067,0
12069,30
12071,50
12073,18
12075,3
12077,0
12079,0
12081,25
12083,41
12085,15
12086,297
12087,3
12089,3
12091,6
12093,1
12095,61
12097,29
12099,113
12101,59
12103,62
12105,77
12107,15
12113,6
12115,32
12117,28
12109,12
12111,31
12119,9
12121,2
12123,2
90012,799
12125,2
12127,54
12129,1
12131,2
12133,1
13001,1
13003,4
13005,4
13007,1
13009,7
13011,3
13013,10
13015,13
13017,4
13019,2
13021,19
13023,0
13025,4
13027,3
13029,2
13031,8
13033,4
13035,7
13037,1
13039,4
13043,3
13045,8
13047,3
13049,3
13051,10
13053,2
13055,5
13057,18
13059,5
13061,0
13063,57
13065,1
13067,65
13069,6
13071,11
13073,11
13075,1
13077,14
13079,2
13081,11
13083,0
13085,7
13089,76
13087,3
13091,3
13093,-1
13095,9
13097,17
13099,-1
13101,0
13103,5
13105,2
13107,2
13109,2
13111,2
13113,8
13115,16
13117,18
13119,1
13121,105
13123,5
13125,0
13127,6
13129,6
13131,4
13133,-2
13135,64
13137,3
13139,27
13141,4
13143,8
13145,4
13147,5
13149,3
13151,12
13153,18
13155,3
13157,0
13159,1
13161,0
13163,3
13165,0
13167,1
13169,2
13171,2
13173,0
13175,6
13177,1
13179,4
13181,2
13183,2
13185,8
13187,9
13193,7
13195,0
13197,5
13189,4
13191,0
13199,5
13201,1
13205,2
13207,2
13209,0
13211,1
13213,6
13215,47
13217,25
13219,1
13221,2
80013,68
13223,19
13225,11
13227,1
13229,6
13231,3
13233,6
13235,1
13237,2
13239,1
13241,1
13243,0
13245,30
13247,6
13249,0
13251,2
13253,0
13255,15
13257,0
13259,0
13261,5
13263,1
13265,0
13267,4
13269,1
13271,3
13273,2
13275,3
13277,7
13279,6
13281,5
13283,7
13285,13
13287,3
13289,4
90013,-10
13291,8
13293,7
13295,3
13297,10
13299,4
13301,3
13303,2
13305,3
13307,0
13309,1
13311,4
13313,6
13315,1
13317,3
13319,-1
13321,1
99999,0
66,4
15001,2
15003,26
15007,0
15009,6
80015,0
90015,0
16001,22
16003,0
16005,4
16007,0
16009,1
16011,1
16013,0
16015,0
16017,3
16019,8
16021,1
16023,0
16025,0
16027,20
16029,0
16031,2
16033,0
16035,1
16037,0
16039,4
16041,1
16043,0
16045,1
16047,0
16049,0
16051,7
16053,0
16055,10
16057,1
16059,0
16061,2
16063,0
16065,1
16067,1
16069,3
16071,0
16073,3
16075,2
16077,0
16079,1
16081,0
16083,5
90016,0
16085,0
16087,1
17001,8
17003,0
17005,0
17007,7
17009,0
17011,3
17013,0
17015,1
17017,3
17019,12
17021,2
17023,1
17025,0
17027,1
17029,7
17031,532
17033,-1
17035,0
17039,5
17037,2
17041,1
17043,55
17045,2
17047,0
17049,1
17051,0
17053,4
17055,8
17057,8
17059,0
17061,1
17063,7
17065,1
17067,0
17069,0
17071,0
17073,7
17075,4
17077,2
17079,0
17081,3
17083,3
17085,0
17087,2
17089,46
17091,11
17093,8
17095,18
17099,13
17097,47
17101,2
17103,2
17105,7
17107,7
17115,18
17117,8
17119,15
17121,2
17123,1
17125,3
17127,0
17109,6
17111,13
17113,16
17129,0
17131,1
17133,3
17135,1
17137,2
17139,2
17141,4
80017,0
17143,51
17145,1
17147,0
17149,2
17151,0
17153,0
17155,0
17157,3
17159,0
17161,24
17165,4
17167,8
17169,2
17171,0
17173,1
17163,10
17175,1
17177,4
17179,33
90017,95
17181,1
17183,14
17185,0
17187,3
17189,0
17191,1
17193,0
17195,8
17197,58
17199,7
17201,42
17203,9
18001,2
18003,18
18005,2
18007,0
18009,0
18011,3
18013,2
18015,1
18017,5
18019,5
18021,3
18023,2
18025,2
18027,1
18033,1
18029,2
18031,0
18035,13
18037,1
18039,26
18041,2
18043,4
18045,2
18047,0
18049,3
18051,5
18053,8
18055,0
18057,15
18059,8
18061,3
18063,6
18065,10
18067,11
18069,1
18071,5
18073,8
18075,3
18077,5
18079,1
18081,14
18083,1
18085,7
18087,2
18091,14
18089,57
18093,3
18095,5
18097,58
18099,6
18101,0
18103,4
18105,10
18107,2
18109,2
18111,2
18113,6
18115,0
18117,1
18119,2
18121,0
18123,0
18125,0
18127,23
18129,2
18131,3
18133,1
18135,3
18137,0
18139,2
18143,5
18145,0
18147,0
18141,17
18149,7
18151,2
18153,1
18155,0
18157,12
18159,2
90018,12
18161,0
18163,6
18165,1
18167,9
18169,5
18171,0
18173,1
18175,6
18177,3
18179,0
18181,-1
18183,5
19001,0
19003,0
19005,1
19007,2
19009,2
19011,0
19013,8
19015,0
19017,2
19019,3
19021,0
19023,1
19025,0
19027,0
19029,1
19031,0
19033,9
19035,0
19037,2
19039,0
19041,2
19043,1
19045,1
19047,1
19049,2
19051,1
19053,0
19055,4
19057,7
19059,1
19061,5
19063,1
19065,2
19067,0
19069,2
19071,1
19073,1
19075,1
19077,3
19079,2
19081,0
19083,2
19085,0
19087,0
19089,0
19091,0
19093,1
19095,0
19097,0
19099,3
19101,0
19103,2
19105,0
19107,1
19109,2
19111,2
19113,8
19115,0
19117,0
19119,0
19121,0
19123,1
19125,2
19127,1
19129,3
19131,2
19133,1
19135,4
19137,1
19139,7
19141,1
19143,1
19145,1
19147,0
19149,2
19151,1
19153,25
19155,11
19157,3
19159,0
19161,1
19163,10
19165,0
19167,0
19169,0
19171,0
19173,0
90019,0
19175,3
19177,0
19179,0
19181,4
19183,1
19185,0
19187,2
19189,0
19191,2
19193,2
19195,0
19197,4
20001,2
20003,0
20005,0
20007,0
20009,4
20011,2
20013,0
20015,6
20017,0
20019,0
20021,1
20023,-1
20025,0
20027,1
20029,2
20031,0
20033,0
20035,1
20037,1
20039,0
20041,3
20043,0
20045,3
20047,0
20049,0
20051,1
20053,0
20055,2
20057,2
20059,0
20061,2
20063,0
20065,0
20067,0
20069,0
20071,0
20073,0
20075,0
20077,0
20079,4
20081,0
20083,1
20085,1
20087,4
20089,0
20091,21
20093,0
20095,0
20097,0
20099,2
20101,0
20103,3
20105,0
20107,0
20109,0
20111,2
20115,0
20117,3
20113,5
20119,1
20121,0
20123,0
20125,5
20127,1
20129,0
20131,0
20133,0
20135,0
20137,1
20139,1
20141,0
20143,0
80020,0
20145,1
20147,1
20149,2
20151,0
20153,0
20155,3
20157,0
20159,0
20161,0
20163,0
20165,0
20167,-1
20169,9
20171,1
20173,48
20175,0
20177,10
20179,1
20181,0
20183,0
20185,1
20187,0
20189,0
20191,2
20193,0
20195,0
90020,0
20197,1
20199,0
20201,0
20203,0
20205,0
20207,0
20209,7
21001,1
21003,4
21005,2
21007,1
21009,12
21011,3
21013,4
21015,27
21017,6
21019,3
21021,8
21023,0
21025,1
21027,3
21029,11
21031,4
21033,2
21035,-1
21037,10
21039,1
21041,2
21043,1
21045,4
21047,3
21049,3
21051,2
21053,0
21055,3
21057,2
21059,12
21061,4
21063,0
21065,1
21067,22
21069,3
21071,7
21073,10
21075,2
21077,5
21079,1
21081,3
21083,4
21085,4
21087,2
21089,5
21091,0
21093,16
21095,8
21097,3
21099,7
21101,8
21103,7
21105,5
21107,3
21109,0
21111,158
21113,8
21115,2
21117,33
21119,1
21121,10
21123,0
21125,11
21127,7
21129,0
21131,1
21133,4
21135,5
21137,9
21139,5
21141,9
21143,2
21151,3
21153,4
21155,1
21157,4
21159,0
21161,6
21145,13
21147,5
21149,1
21163,1
21165,1
21167,4
21169,4
21171,3
21173,0
21175,2
21177,6
21179,10
21181,0
21183,2
21185,2
21187,0
21189,2
21191,0
21193,1
21195,12
21197,1
21199,16
21201,0
21203,2
21205,0
21207,3
21209,4
21211,8
21213,6
21215,3
21217,7
21219,3
21221,0
21223,0
90021,0
21225,1
21227,16
21229,5
21231,4
21233,2
21235,6
21237,1
21239,3
22001,4
22003,1
22005,4
22007,0
22009,1
22011,2
22013,2
22015,12
22017,21
22019,27
22021,0
22023,1
22025,0
22027,0
22029,2
22031,0
22033,38
22035,2
22037,3
22039,5
22041,2
22043,3
22045,8
22047,3
22049,2
22051,20
22053,1
22059,1
22055,18
22057,2
22061,1
22063,9
22065,1
22067,5
22069,8
22071,13
22073,14
80022,0
22075,1
22077,2
22079,13
22081,0
22083,3
22085,4
22087,4
22089,5
22091,2
22093,1
22095,4
22097,9
22099,2
22101,9
22103,8
22105,14
22107,0
22109,8
90022,0
22111,5
22113,7
22115,4
22117,5
22119,2
22121,4
22123,0
22125,0
22127,4
23001,16
23003,3
23005,11
23007,2
23009,2
23011,6
23013,1
23015,1
80023,0
23017,5
23019,8
23021,1
23023,1
23025,3
90023,0
23027,2
23029,3
23031,4
24001,5
24003,70
24005,211
24510,216
24009,8
24011,5
24013,20
24015,23
24017,26
24019,14
24021,22
24023,2
24025,29
24027,21
24029,5
24031,101
24033,141
24035,6
24039,3
24037,9
24041,7
90024,-55
24043,58
24045,22
24047,8
25001,9
25003,6
25005,45
25009,53
25011,0
25013,41
25015,10
25017,57
25021,31
25023,35
25025,29
90025,0
25027,59
26001,5
26003,1
26005,30
26007,4
26009,3
26011,0
26013,4
26015,6
26017,32
26019,4
26021,22
26023,3
26025,47
26027,3
26029,2
26031,5
26033,2
26035,11
26037,10
26039,1
26041,7
26043,0
26045,25
26047,2
26049,99
26051,11
26053,2
26055,11
26057,9
26059,8
26061,3
26063,9
26065,42
26067,3
26069,4
26071,2
26073,15
26075,32
26077,44
26079,5
26081,73
26083,0
26085,2
26087,30
26089,1
26091,19
26093,24
26095,3
26097,0
26099,237
26101,1
26103,5
26105,5
26107,6
26109,2
26111,16
26113,4
26115,26
26117,11
26119,1
26121,44
26123,11
26125,234
26127,6
26129,7
26131,0
26133,4
26135,7
26137,5
26139,42
80026,3
26141,3
26143,8
26145,57
26151,22
26153,0
26155,11
26147,59
26149,7
26157,11
90026,0
26159,14
26161,32
26163,516
26165,9
27001,1
27003,32
27005,7
27007,4
27009,1
27011,0
27013,3
27015,0
27017,5
27019,3
27021,4
27023,0
27025,1
27027,1
27029,0
27031,0
27033,3
27035,10
27037,34
27039,0
27041,7
27043,0
27045,1
27047,4
27049,2
27051,0
27053,81
27055,1
27057,0
27059,3
27061,12
27063,1
27065,4
27067,4
27069,0
27071,4
27073,0
27075,1
27077,0
27079,4
27081,0
27083,4
27087,1
27089,0
27091,2
27085,3
27093,5
27095,3
27097,2
27099,1
27101,1
27103,2
27105,2
27107,0
27109,5
27111,13
27113,1
27115,2
27117,0
27119,5
27121,0
27123,39
27125,0
27127,4
27129,3
27131,7
27133,0
27135,2
27139,15
27141,13
27143,0
27137,16
27145,6
27147,3
27149,1
27151,0
27153,2
27155,0
90027,0
27157,0
27159,2
27161,2
27163,17
27165,0
27167,1
27169,2
27171,15
27173,0
28001,4
28003,6
28005,2
28007,0
28009,0
28011,3
28013,0
28015,3
28017,2
28019,0
28021,0
28023,1
28025,0
28027,5
28029,1
28031,3
28033,17
28035,4
28037,0
28039,4
28041,1
28043,3
28045,1
28047,11
28049,10
28051,2
28053,1
28055,0
28057,3
28059,4
28061,0
28063,0
28065,2
28067,4
28069,1
28071,4
28073,3
28075,3
28077,2
28079,1
28081,5
28083,0
28085,3
28087,6
28089,12
28091,0
28093,2
28095,3
28097,2
28099,4
28101,3
28103,0
28105,0
28107,8
28109,4
28111,0
28113,6
28115,1
28117,2
28119,1
28121,4
28123,1
28125,0
28127,1
28129,0
28131,1
28133,3
28135,2
28137,3
28139,0
28141,2
28143,2
90028,0
28145,2
28147,2
28149,2
28151,5
28153,1
28155,0
28157,2
28159,1
28161,4
28163,2
29001,0
29003,1
29005,0
29007,1
29009,2
29011,2
29013,3
29015,2
29017,2
29019,8
29021,5
29023,8
29025,2
29027,4
29029,2
29031,5
29033,1
29035,1
29037,9
29039,0
29041,0
29043,5
29045,1
29047,10
29049,0
29051,8
29053,0
29055,4
29057,0
29059,1
29061,0
29063,1
29065,2
29067,2
29069,28
29071,6
29073,2
29075,0
29077,18
29079,1
29081,0
29083,2
29085,0
29087,1
29089,0
29091,2
29093,1
29095,64
29097,11
29099,13
29101,7
29103,1
29105,7
29107,1
29109,6
29111,7
29113,10
29115,4
29117,6
29121,3
29123,0
29125,0
29127,8
29119,3
29129,0
29131,3
29133,0
29135,1
29137,0
29139,2
29141,1
29143,4
29145,5
29147,0
29149,2
29151,1
29153,4
29155,9
29157,0
29159,-1
29161,2
29163,2
29165,2
29167,4
29169,4
29171,0
29173,1
29175,1
29177,0
29179,0
29181,2
29195,0
29197,1
29199,1
29201,3
29203,0
29205,0
29183,22
29185,0
29187,1
29189,85
29510,50
29186,1
29207,5
29209,4
29211,0
29213,10
29215,0
90029,0
29217,3
29219,6
29221,3
29223,3
29225,2
29227,0
29229,3
30001,3
30003,1
30005,1
30007,0
30009,3
30011,0
30013,18
30015,1
30017,0
30019,0
30021,-1
30023,1
30025,0
30027,0
30029,9
30031,1
30033,0
30035,1
30037,0
30039,0
30041,2
30043,0
30045,0
30047,0
30049,5
30051,0
30053,1
30057,0
30055,0
30059,0
30061,2
30063,3
30065,3
30067,1
30069,0
30071,0
30073,0
30075,0
30077,1
30079,0
30081,18
30083,1
30085,1
30087,2
30089,0
30091,0
30093,1
30095,0
30097,0
30099,1
30101,0
30103,0
90030,0
30105,0
30107,0
30109,0
30111,11
31001,3
31003,1
31005,0
31007,0
31009,0
31011,0
31013,-1
31015,0
31017,0
31019,-1
31021,0
31023,0
31025,0
31027,0
31029,0
31031,0
31033,-2
31035,0
31037,0
31039,4
31041,1
31043,2
31045,-6
31047,0
31049,-1
31051,0
31053,2
31055,50
31057,0
31059,-2
31061,0
31063,0
31065,0
31067,0
31069,0
31071,-2
31073,0
31075,0
31077,-1
31079,0
31081,0
31083,0
31085,0
31087,0
31089,0
31091,0
31093,-7
31095,0
31097,0
31099,0
31101,0
31103,0
31105,-6
31107,0
31109,2
31111,6
31113,0
31115,0
31119,2
31117,0
31121,0
31123,-8
31125,0
31127,0
31129,0
31131,1
31133,0
31135,0
31137,0
31139,0
31141,2
31143,0
31145,0
31147,0
31149,0
31151,-1
31153,2
31155,0
31157,-44
31159,1
31161,-9
31163,0
31165,0
31167,2
31169,0
31171,0
31173,-1
90031,24
31175,-1
31177,1
31179,0
31181,1
31183,0
31185,2
32510,1
32001,0
32003,194
32005,2
32007,2
32009,0
32011,0
32013,1
32015,0
32017,0
32019,0
32021,0
32023,2
32027,0
32029,0
90032,0
32031,15
32033,0
33001,2
33003,4
33005,2
33007,2
33009,2
33011,24
33013,3
33015,17
33017,15
33019,1
90033,-4
