FIPS,Deaths
01001,50
01003,283
01005,24
01007,31
01009,57
01011,4
01013,31
01015,206
01017,19
01019,18
01021,59
01023,4
01025,26
01027,13
01029,19
01031,77
01033,74
01035,34
01037,19
01039,78
01041,20
01043,110
01045,81
01047,59
01049,84
01051,89
01053,68
01055,166
01057,23
01059,26
01061,61
01063,11
01065,13
01067,22
01069,145
01071,84
01073,488
01075,19
01077,68
01079,31
01081,95
01083,69
01085,15
01087,15
01089,231
01091,29
01093,30
01095,94
01097,577
01099,26
01101,196
01103,127
80001,0
01105,14
01107,29
01109,32
01111,26
01113,27
01117,123
01115,121
01119,9
01121,124
01123,51
01125,190
90001,0
01127,101
01129,13
01131,10
01133,38
02013,0
02016,1
02020,224
02050,6
02060,0
02164,1
02063,5
02066,2
02068,1
02070,6
02090,70
02100,1
02110,9
02122,46
02130,11
02150,4
02158,5
02170,101
02180,2
02185,4
02188,8
02195,2
02198,5
02220,4
02230,0
02240,8
90002,1
02261,0
02275,1
02282,1
02290,4
60,0
04001,83
04003,105
04005,55
04007,51
04009,54
04011,12
04012,22
04013,2906
04015,331
04017,145
80004,0
04019,504
04021,299
04023,20
90004,0
04025,288
04027,94
05001,24
05003,15
05005,85
05007,216
05009,51
05011,9
05013,5
05015,30
05017,6
05019,20
05021,24
05023,21
05025,8
05027,19
05029,14
05031,71
05033,60
05035,84
05037,17
05039,4
05041,9
05043,12
05045,66
05047,16
05049,20
05051,140
05053,18
05055,50
05057,21
05059,37
05061,14
05063,38
05065,14
05067,8
05069,62
05071,20
05073,19
05075,19
05077,18
05079,9
05081,39
05083,30
05085,57
05087,17
05089,32
05091,107
05093,43
05095,8
05097,13
05099,16
05101,13
05103,25
05105,12
05107,40
05109,15
05111,25
05113,40
05115,51
05117,8
05119,284
05121,17
05125,80
05127,17
05129,7
05131,120
05133,37
05135,25
05123,27
05137,15
90005,0
05139,29
05141,21
05143,148
05145,88
05147,11
05149,16
06001,234
06003,0
06005,20
06007,116
06009,38
06011,6
06013,246
06015,36
06017,56
06019,576
06021,19
06023,83
06025,52
06027,10
06029,450
06031,117
06033,67
06035,36
06037,3247
06039,76
06041,21
06043,11
06045,51
06047,223
06049,2
06051,1
06053,247
06055,23
06057,35
06059,760
80006,0
06061,183
06063,3
06065,946
06067,841
06069,15
06071,1310
06073,629
06075,128
06077,509
06079,105
06081,218
06083,96
06085,-63
06087,17
06089,254
06091,0
06093,44
06095,108
06097,94
06099,643
06101,76
06103,77
06105,14
06107,261
06109,29
90006,0
06111,185
06113,49
06115,45
08001,257
08003,18
08005,196
08007,6
08009,2
08011,10
08013,52
08014,10
08015,11
08017,1
08019,3
08021,32
08023,11
08025,12
08027,10
08029,36
08031,206
08033,5
08035,86
08037,10
08041,457
08039,13
08043,74
08045,31
08047,0
08049,9
08051,6
08053,0
08055,4
08057,0
08059,244
08061,1
08063,10
08067,23
08065,1
08069,140
08071,16
08073,4
08075,25
08077,184
08079,0
08081,25
08083,24
08085,53
08087,16
08089,30
08091,3
80008,0
08093,8
08095,2
08097,2
08099,17
08101,210
08103,6
08105,16
08107,4
08109,5
08111,0
08113,5
08115,4
08117,5
08119,28
90008,0
08121,12
08123,199
08125,1
09001,160
09003,231
09005,46
09007,39
09009,203
09011,66
09013,22
90009,3
09015,38
10001,135
10003,247
10005,170
90010,0
88888,0
11001,91
12001,10
12003,2
12005,8
12007,2
12009,53
12011,177
12013,2
12015,21
12017,19
12019,12
12021,23
12023,1
