FIPS,Recip_County,Recip_State,Series_Complete_5Plus
45071,Newberry County,SC,19701
06085,Santa Clara County,CA,1621731
29183,St. Charles County,MO,240928
48219,Hockley County,TX,9516
17007,Boone County,IL,31803
13067,Cobb County,GA,431569
29095,Jackson County,MO,388641
31003,Antelope County,NE,2290
21071,Floyd County,KY,19917
54081,Raleigh County,WV,38821
72015,Arroyo Municipio,PR,12336
13301,Warren County,GA,2464
04012,La Paz County,AZ,9948
13317,Wilkes County,GA,4578
18057,Hamilton County,IN,236012
72053,Fajardo Municipio,PR,21998
22021,Caldwell Parish,LA,3735
41017,Deschutes County,OR,133701
51195,Wise County,VA,17205
48199,Hardin County,TX,21258
40131,Rogers County,OK,42007
39019,Carroll County,OH,11557
53063,Spokane County,WA,309869
42005,Armstrong County,PA,37810
26017,Bay County,MI,57762
18181,White County,IN,12797
13173,Lanier County,GA,2737
UNK,Unknown County,ID,20897
02060,Bristol Bay Borough,AK,839
72147,Vieques Municipio,PR,6520
29069,Dunklin County,MO,10483
21079,Garrard County,KY,8310
17085,Jo Daviess County,IL,16176
20047,Edwards County,KS,1317
35023,Hidalgo County,NM,2410
35029,Luna County,NM,16811
47099,Lawrence County,TN,15797
51047,Culpeper County,VA,24867
46061,Hanson County,SD,1445
47155,Sevier County,TN,48182
48055,Caldwell County,TX,23987
22097,St. Landry Parish,LA,33026
20125,Montgomery County,KS,14180
37027,Caldwell County,NC,37690
46035,Davison County,SD,11725
31171,Thomas County,NE,177
36075,Oswego County,NY,67909
01027,Clay County,AL,5405
39009,Athens County,OH,33005
37123,Montgomery County,NC,11194
17111,McHenry County,IL,200591
34033,Salem County,NJ,33290
48313,Madison County,TX,5649
40143,Tulsa County,OK,389381
17017,Cass County,IL,7266
51099,King George County,VA,11050
16051,Jefferson County,ID,12347
21237,Wolfe County,KY,3731
13231,Pike County,GA,6034
08027,Custer County,CO,2412
39115,Morgan County,OH,6012
01083,Limestone County,AL,37486
21167,Mercer County,KY,11649
22035,East Carroll Parish,LA,3035
36031,Essex County,NY,25934
45079,Richland County,SC,234738
29057,Dade County,MO,3218
29035,Carter County,MO,1908
38061,Mountrail County,ND,4296
51065,Fluvanna County,VA,16676
51021,Bland County,VA,2413
51800,Suffolk city,VA,47679
06039,Madera County,CA,81326
26045,Eaton County,MI,61436
06083,Santa Barbara County,CA,305418
01079,Lawrence County,AL,15186
17087,Johnson County,IL,6309
41015,Curry County,OR,12472
28019,Choctaw County,MS,2897
29015,Benton County,MO,9120
46083,Lincoln County,SD,34873
29113,Lincoln County,MO,22447
01085,Lowndes County,AL,4725
46077,Kingsbury County,SD,3244
39095,Lucas County,OH,241888
72021,Bayamon Municipio,PR,145770
39099,Mahoning County,OH,127315
51590,Danville city,VA,13498
13049,Charlton County,GA,3298
05019,Clark County,AR,10609
35045,San Juan County,NM,88922
54043,Lincoln County,WV,10147
28005,Amite County,MS,4778
12029,Dixie County,FL,5662
22089,St. Charles Parish,LA,29328
48449,Titus County,TX,12265
45045,Greenville County,SC,279753
48241,Jasper County,TX,12524
24037,St. Mary's County,MD,73147
48423,Smith County,TX,103882
37175,Transylvania County,NC,18484
51095,James City County,VA,41896
28141,Tishomingo County,MS,7303
17071,Henderson County,IL,3146
06071,San Bernardino County,CA,1211671
24001,Allegany County,MD,38428
27125,Red Lake County,MN,2250
36007,Broome County,NY,118761
18159,Tipton County,IN,6685
13145,Harris County,GA,16541
55117,Sheboygan County,WI,69857
21029,Bullitt County,KY,36176
13089,DeKalb County,GA,413471
72045,Comerio Municipio,PR,12818
54071,Pendleton County,WV,4010
51167,Russell County,VA,12234
13127,Glynn County,GA,42747
31185,York County,NE,6988
21055,Crittenden County,KY,3521
24041,Talbot County,MD,26512
56037,Sweetwater County,WY,20384
29205,Shelby County,MO,2725
48181,Grayson County,TX,59579
49055,Wayne County,UT,1460
29111,Lewis County,MO,3254
25015,Hampshire County,MA,105044
23013,Knox County,ME,32610
42011,Berks County,PA,244764
45003,Aiken County,SC,75986
19025,Calhoun County,IA,5615
21141,Logan County,KY,13452
27073,Lac qui Parle County,MN,3815
21021,Boyle County,KY,16662
26003,Alger County,MI,5605
72073,Jayuya Municipio,PR,10660
35037,Quay County,NM,3975
54075,Pocahontas County,WV,4284
12053,Hernando County,FL,104159
01007,Bibb County,AL,7570
19127,Marshall County,IA,25247
18039,Elkhart County,IN,85513
04025,Yavapai County,AZ,107070
26065,Ingham County,MI,163096
35003,Catron County,NM,1591
19173,Taylor County,IA,2832
17011,Bureau County,IL,18586
23031,York County,ME,161087
20167,Russell County,KS,2878
26013,Baraga County,MI,4810
18075,Jay County,IN,7688
39017,Butler County,OH,212358
34023,Middlesex County,NJ,585499
16003,Adams County,ID,1846
40083,Logan County,OK,16428
06053,Monterey County,CA,299945
56045,Weston County,WY,2547
12019,Clay County,FL,115267
01129,Washington County,AL,7315
31087,Hitchcock County,NE,908
27145,Stearns County,MN,91869
21131,Leslie County,KY,5002
08049,Grand County,CO,9736
41053,Polk County,OR,53235
39043,Erie County,OH,43075
06065,Riverside County,CA,1402254
06087,Santa Cruz County,CA,208782
48451,Tom Green County,TX,58945
48179,Gray County,TX,10194
29079,Grundy County,MO,3380
27015,Brown County,MN,16146
29045,Clark County,MO,2051
48261,Kenedy County,TX,217
39073,Hocking County,OH,13320
51069,Frederick County,VA,42119
38027,Eddy County,ND,1168
37051,Cumberland County,NC,195294
26101,Manistee County,MI,14488
47013,Campbell County,TN,16886
21077,Gallatin County,KY,3548
26011,Arenac County,MI,7520
22091,St. Helena Parish,LA,3077
55121,Trempealeau County,WI,19092
19027,Carroll County,IA,12224
01041,Crenshaw County,AL,4622
51025,Brunswick County,VA,8161
21103,Henry County,KY,8468
21239,Woodford County,KY,17305
48337,Montague County,TX,6803
22101,St. Mary Parish,LA,21629
18149,Starke County,IN,8280
72101,Morovis Municipio,PR,20729
26043,Dickinson County,MI,16716
19161,Sac County,IA,5023
55013,Burnett County,WI,8590
48341,Moore County,TX,9164
46011,Brookings County,SD,17713
37031,Carteret County,NC,43105
40035,Craig County,OK,7342
55133,Waukesha County,WI,276697
28069,Kemper County,MS,4343
47081,Hickman County,TN,10458
08105,Rio Grande County,CO,6935
19069,Franklin County,IA,5361
48051,Burleson County,TX,8870
13061,Clay County,GA,1674
13123,Gilmer County,GA,12563
13093,Dooly County,GA,4900
54001,Barbour County,WV,7976
20139,Osage County,KS,7926
22011,Beauregard Parish,LA,13020
29047,Clay County,MO,131341
31013,Box Butte County,NE,3546
37003,Alexander County,NC,16670
54049,Marion County,WV,31265
21189,Owsley County,KY,2042
39143,Sandusky County,OH,30207
31127,Nemaha County,NE,3418
08061,Kiowa County,CO,519
16013,Blaine County,ID,18509
51760,Richmond city,VA,97102
16025,Camas County,ID,469
27029,Clearwater County,MN,3618
01009,Blount County,AL,17821
20171,Scott County,KS,2240
13275,Thomas County,GA,21137
19021,Buena Vista County,IA,12928
26037,Clinton County,MI,44845
12005,Bay County,FL,90548
26159,Van Buren County,MI,42143
49033,Rich County,UT,1236
36091,Saratoga County,NY,178958
28039,George County,MS,9684
30097,Sweet Grass County,MT,1494
28143,Tunica County,MS,4779
51036,Charles City County,VA,5547
56021,Laramie County,WY,54397
55065,Lafayette County,WI,9850
19075,Grundy County,IA,7377
28001,Adams County,MS,16123
19157,Poweshiek County,IA,10657
13303,Washington County,GA,8754
31099,Kearney County,NE,2979
51103,Lancaster County,VA,6320
31011,Boone County,NE,2492
55107,Rusk County,WI,5710
31023,Butler County,NE,4010
48355,Nueces County,TX,202410
42025,Carbon County,PA,37721
27101,Murray County,MN,4385
37157,Rockingham County,NC,44265
42015,Bradford County,PA,25064
51015,Augusta County,VA,36449
31045,Dawes County,NE,3226
47063,Hamblen County,TN,26971
26135,Oscoda County,MI,3405
40099,Murray County,OK,6167
20205,Wilson County,KS,3626
31079,Hall County,NE,28952
35051,Sierra County,NM,6993
33013,Merrimack County,NH,101945
35017,Grant County,NM,18206
48383,Reagan County,TX,1470
20089,Jewell County,KS,1313
32007,Elko County,NV,21507
40067,Jefferson County,OK,2455
21087,Green County,KY,4662
38009,Bottineau County,ND,3112
13307,Webster County,GA,1132
54009,Brooke County,WV,10815
08017,Cheyenne County,CO,593
29053,Cooper County,MO,7696
12013,Calhoun County,FL,4810
39089,Licking County,OH,94703
36073,Orleans County,NY,21753
UNK,Unknown County,AK,15759
56011,Crook County,WY,2263
22125,West Feliciana Parish,LA,13515
34015,Gloucester County,NJ,176001
36055,Monroe County,NY,524446
08089,Otero County,CO,8773
20159,Rice County,KS,4051
17171,Scott County,IL,2055
13281,Towns County,GA,5769
23025,Somerset County,ME,30380
13109,Evans County,GA,4230
05133,Sevier County,AR,7492
16039,Elmore County,ID,13077
40153,Woodward County,OK,7501
21235,Whitley County,KY,15641
23027,Waldo County,ME,27565
13297,Walton County,GA,37971
31149,Rock County,NE,492
27079,Le Sueur County,MN,13735
13167,Johnson County,GA,3329
37059,Davie County,NC,23689
17201,Winnebago County,IL,158992
31125,Nance County,NE,997
55057,Juneau County,WI,13935
72007,Aguas Buenas Municipio,PR,17807
48351,Newton County,TX,3352
16069,Nez Perce County,ID,21865
28047,Harrison County,MS,111041
20185,Stafford County,KS,1875
19097,Jackson County,IA,10124
51005,Alleghany County,VA,5836
30063,Missoula County,MT,75741
27045,Fillmore County,MN,14151
48371,Pecos County,TX,8834
42035,Clinton County,PA,16760
29197,Schuyler County,MO,1186
39165,Warren County,OH,147224
13161,Jeff Davis County,GA,4575
29219,Warren County,MO,14535
13289,Twiggs County,GA,4280
53025,Grant County,WA,53894
48079,Cochran County,TX,1460
55103,Richland County,WI,9935
46063,Harding County,SD,241
19131,Mitchell County,IA,5077
21063,Elliott County,KY,2606
31167,Stanton County,NE,1656
48473,Waller County,TX,22400
UNK,Unknown County,NM,43488
22077,Pointe Coupee Parish,LA,11752
22007,Assumption Parish,LA,9261
30031,Gallatin County,MT,66169
33001,Belknap County,NH,37330
29105,Laclede County,MO,13126
21097,Harrison County,KY,9258
54085,Ritchie County,WV,4620
21225,Union County,KY,5865
05139,Union County,AR,18360
28071,Lafayette County,MS,29082
48387,Red River County,TX,4879
53039,Klickitat County,WA,10452
38025,Dunn County,ND,1047
26103,Marquette County,MI,41862
19045,Clinton County,IA,24838
06009,Calaveras County,CA,24102
20045,Douglas County,KS,73255
48035,Bosque County,TX,8474
21011,Bath County,KY,6542
30087,Rosebud County,MT,7404
30011,Carter County,MT,380
19037,Chickasaw County,IA,6420
54083,Randolph County,WV,15337
24025,Harford County,MD,172134
56023,Lincoln County,WY,8370
46091,Marshall County,SD,2516
13205,Mitchell County,GA,10083
55025,Dane County,WI,443638
42051,Fayette County,PA,71802
51013,Arlington County,VA,165789
06055,Napa County,CA,103428
13051,Chatham County,GA,158405
30049,Lewis and Clark County,MT,40370
31053,Dodge County,NE,19236
01015,Calhoun County,AL,51933
12119,Sumter County,FL,104256
29003,Andrew County,MO,6572
20153,Rawlins County,KS,1066
18053,Grant County,IN,26820
08037,Eagle County,CO,44396
05021,Clay County,AR,6475
02198,Prince of Wales-Hyder Census Area,AK,3294
31081,Hamilton County,NE,4195
12117,Seminole County,FL,285705
26007,Alpena County,MI,15507
22009,Avoyelles Parish,LA,18125
UNK,Unknown County,IL,155838
72029,Canovanas Municipio,PR,32358
40057,Harmon County,OK,1264
40059,Harper County,OK,1627
48319,Mason County,TX,1996
01029,Cleburne County,AL,4179
39061,Hamilton County,OH,501016
16011,Bingham County,ID,21767
26095,Luce County,MI,2721
08099,Prowers County,CO,5064
26165,Wexford County,MI,16931
42111,Somerset County,PA,34559
13059,Clarke County,GA,58372
27019,Carver County,MN,69038
01089,Madison County,AL,224068
39053,Gallia County,OH,13594
13027,Brooks County,GA,7249
06099,Stanislaus County,CA,282779
18035,Delaware County,IN,53926
49015,Emery County,UT,4415
21127,Lawrence County,KY,7203
13183,Long County,GA,4021
48289,Leon County,TX,6103
36041,Hamilton County,NY,3639
17001,Adams County,IL,33977
18157,Tippecanoe County,IN,109922
12105,Polk County,FL,401440
31071,Garfield County,NE,577
21037,Campbell County,KY,57551
48357,Ochiltree County,TX,3691
29023,Butler County,MO,14257
51121,Montgomery County,VA,45035
31141,Platte County,NE,15234
39067,Harrison County,OH,6353
40149,Washita County,OK,4165
42115,Susquehanna County,PA,18241
42065,Jefferson County,PA,20539
46047,Fall River County,SD,4086
24005,Baltimore County,MD,572186
42079,Luzerne County,PA,197339
48499,Wood County,TX,19116
12011,Broward County,FL,1355479
01057,Fayette County,AL,5570
22053,Jefferson Davis Parish,LA,11247
01031,Coffee County,AL,23963
48353,Nolan County,TX,6008
18081,Johnson County,IN,90051
51159,Richmond County,VA,3675
46101,Moody County,SD,3129
45025,Chesterfield County,SC,16318
12049,Hardee County,FL,11104
04023,Santa Cruz County,AZ,48648
49017,Garfield County,UT,2759
UNK,Unknown County,ND,30310
39039,Defiance County,OH,18326
47039,Decatur County,TN,4333
37137,Pamlico County,NC,7049
47065,Hamilton County,TN,202410
72123,Salinas Municipio,PR,19635
72059,Guayanilla Municipio,PR,13945
72023,Cabo Rojo Municipio,PR,33713
28115,Pontotoc County,MS,13036
13097,Douglas County,GA,65651
20107,Linn County,KS,3335
26143,Roscommon County,MI,13273
13129,Gordon County,GA,21224
20177,Shawnee County,KS,105812
20001,Allen County,KS,5560
UNK,Unknown County,MS,28087
42029,Chester County,PA,394614
28023,Clarke County,MS,8577
29055,Crawford County,MO,7803
49023,Juab County,UT,4347
40127,Pushmataha County,OK,3893
39003,Allen County,OH,43431
31169,Thayer County,NE,2347
21027,Breckinridge County,KY,9741
36085,Richmond County,NY,340094
05053,Grant County,AR,8181
53009,Clallam County,WA,51868
21065,Estill County,KY,7100
54107,Wood County,WV,47898
47139,Polk County,TN,6800
12129,Wakulla County,FL,14792
22003,Allen Parish,LA,8979
39047,Fayette County,OH,12106
29067,Douglas County,MO,3127
28151,Washington County,MS,21439
48081,Coke County,TX,1540
26091,Lenawee County,MI,50606
72037,Ceiba Municipio,PR,7899
37055,Dare County,NC,27181
39155,Trumbull County,OH,105909
05071,Johnson County,AR,12711
28079,Leake County,MS,10670
13177,Lee County,GA,13484
40089,McCurtain County,OK,11393
02261,Valdez-Cordova Census Area,AK,5340
13229,Pierce County,GA,6367
05029,Conway County,AR,10973
28137,Tate County,MS,12370
40095,Marshall County,OK,7357
12061,Indian River County,FL,104874
UNK,Unknown County,DE,25059
21213,Simpson County,KY,9123
37045,Cleveland County,NC,47400
27117,Pipestone County,MN,4867
12121,Suwannee County,FL,16540
51820,Waynesboro city,VA,9690
22113,Vermilion Parish,LA,22082
48089,Colorado County,TX,11119
27151,Swift County,MN,5221
26151,Sanilac County,MI,17227
27089,Marshall County,MN,4587
39093,Lorain County,OH,191745
01017,Chambers County,AL,10096
13099,Early County,GA,4872
18169,Wabash County,IN,12478
08057,Jackson County,CO,616
06005,Amador County,CA,20600
39059,Guernsey County,OH,16889
12087,Monroe County,FL,56707
12095,Orange County,FL,937577
47183,Weakley County,TN,12331
39147,Seneca County,OH,26342
37019,Brunswick County,NC,86193
72005,Aguadilla Municipio,PR,38774
18137,Ripley County,IN,13302
01095,Marshall County,AL,42996
36099,Seneca County,NY,17858
05055,Greene County,AR,18987
47059,Greene County,TN,31274
55063,La Crosse County,WI,79699
27063,Jackson County,MN,4906
48153,Floyd County,TX,2539
19149,Plymouth County,IA,12946
31137,Phelps County,NE,3470
24033,Prince George's County,MD,641770
48277,Lamar County,TX,19357
13225,Peach County,GA,12198
27123,Ramsey County,MN,380659
12093,Okeechobee County,FL,18969
19047,Crawford County,IA,8853
21159,Martin County,KY,5940
53035,Kitsap County,WA,182226
12037,Franklin County,FL,5733
48167,Galveston County,TX,200303
72151,Yabucoa Municipio,PR,23536
21203,Rockcastle County,KY,6501
21117,Kenton County,KY,98169
37163,Sampson County,NC,31477
06025,Imperial County,CA,150758
54011,Cabell County,WV,54183
51017,Bath County,VA,1781
48421,Sherman County,TX,1016
55051,Iron County,WI,3703
48129,Donley County,TX,1105
48169,Garza County,TX,3213
47179,Washington County,TN,75283
21081,Grant County,KY,11921
28033,DeSoto County,MS,97084
26105,Mason County,MI,17320
38065,Oliver County,ND,493
26027,Cass County,MI,21881
45027,Clarendon County,SC,15784
42061,Huntingdon County,PA,22478
54039,Kanawha County,WV,114582
35049,Santa Fe County,NM,118244
20165,Rush County,KS,1498
38055,McLean County,ND,4308
24017,Charles County,MD,109867
31121,Merrick County,NE,3292
33003,Carroll County,NH,34973
40037,Creek County,OK,30488
56013,Fremont County,WY,23097
51073,Gloucester County,VA,22857
51678,Lexington city,VA,2923
51031,Campbell County,VA,21670
54077,Preston County,WV,18226
01123,Tallapoosa County,AL,15213
20069,Gray County,KS,2646
55125,Vilas County,WI,14310
13257,Stephens County,GA,10391
47049,Fentress County,TN,6131
20169,Saline County,KS,26546
47017,Carroll County,TN,13099
54053,Mason County,WV,12751
27025,Chisago County,MN,31630
13065,Clinch County,GA,2574
47113,Madison County,TN,51951
53003,Asotin County,WA,9112
05099,Nevada County,AR,3511
32031,Washoe County,NV,294866
08021,Conejos County,CO,3944
31041,Custer County,NE,4028
56005,Campbell County,WY,13919
UNK,Unknown County,UT,48298
35057,Torrance County,NM,7275
48273,Kleberg County,TX,18150
31111,Lincoln County,NE,11239
48457,Tyler County,TX,7680
19019,Buchanan County,IA,11108
20063,Gove County,KS,1247
47141,Putnam County,TN,39977
48503,Young County,TX,7337
39041,Delaware County,OH,154188
51690,Martinsville city,VA,0
17131,Mercer County,IL,9253
26117,Montcalm County,MI,26500
29109,Lawrence County,MO,14206
20193,Thomas County,KS,3156
18055,Greene County,IN,12859
24047,Worcester County,MD,36392
47169,Trousdale County,TN,4035
48389,Reeves County,TX,8109
17107,Logan County,IL,15251
55069,Lincoln County,WI,14941
19159,Ringgold County,IA,2521
42045,Delaware County,PA,404888
17019,Champaign County,IL,133855
28149,Warren County,MS,25430
42093,Montour County,PA,13971
18029,Dearborn County,IN,29640
34037,Sussex County,NJ,85746
35033,Mora County,NM,2854
41011,Coos County,OR,36212
38103,Wells County,ND,1648
39097,Madison County,OH,22267
08045,Garfield County,CO,37791
44005,Newport County,RI,59648
29165,Platte County,MO,57857
27137,St. Louis County,MN,129968
55119,Taylor County,WI,7076
50023,Washington County,VT,27025
24029,Kent County,MD,12757
01101,Montgomery County,AL,113822
51109,Louisa County,VA,15410
08121,Washington County,CO,1476
30005,Blaine County,MT,5401
22041,Franklin Parish,LA,7192
06081,San Mateo County,CA,626694
45017,Calhoun County,SC,5770
48175,Goliad County,TX,3193
18023,Clinton County,IN,15122
02090,Fairbanks North Star Borough,AK,53520
17125,Mason County,IL,6999
40091,McIntosh County,OK,10440
31173,Thurston County,NE,4912
22119,Webster Parish,LA,16011
46127,Union County,SD,8011
13209,Montgomery County,GA,3210
50001,Addison County,VT,25673
42119,Union County,PA,25201
08041,El Paso County,CO,448994
37121,Mitchell County,NC,7283
39079,Jackson County,OH,14927
53017,Douglas County,WA,26084
28121,Rankin County,MS,77910
19133,Monona County,IA,4559
26129,Ogemaw County,MI,9306
27121,Pope County,MN,6296
19193,Woodbury County,IA,56440
47165,Sumner County,TN,89400
01087,Macon County,AL,8347
30053,Lincoln County,MT,6867
40137,Stephens County,OK,19939
26083,Keweenaw County,MI,1214
39163,Vinton County,OH,5068
05025,Cleveland County,AR,4061
37063,Durham County,NC,220610
06003,Alpine County,CA,0
55137,Waushara County,WI,10727
40085,Love County,OK,4217
41019,Douglas County,OR,57411
27003,Anoka County,MN,204601
19113,Linn County,IA,147998
29049,Clinton County,MO,9418
27095,Mille Lacs County,MN,14774
51153,Prince William County,VA,328956
29077,Greene County,MO,141149
29143,New Madrid County,MO,5568
20055,Finney County,KS,16366
48123,DeWitt County,TX,8863
19011,Benton County,IA,14671
24021,Frederick County,MD,193580
48217,Hill County,TX,14699
13217,Newton County,GA,45531
42039,Crawford County,PA,40480
48339,Montgomery County,TX,321445
40021,Cherokee County,OK,22539
72143,Vega Alta Municipio,PR,23268
13101,Echols County,GA,1214
42027,Centre County,PA,94743
72121,Sabana Grande Municipio,PR,17618
47069,Hardeman County,TN,11286
12003,Baker County,FL,10328
13207,Monroe County,GA,11415
38069,Pierce County,ND,1779
21089,Greenup County,KY,17868
19151,Pocahontas County,IA,3391
53067,Thurston County,WA,192745
19017,Bremer County,IA,14700
48109,Culberson County,TX,1116
21215,Spencer County,KY,5604
21143,Lyon County,KY,4719
37079,Greene County,NC,12608
29103,Knox County,MO,1532
37077,Granville County,NC,36316
36027,Dutchess County,NY,200142
37173,Swain County,NC,7901
28057,Itawamba County,MS,7938
51610,Falls Church city,VA,8025
26051,Gladwin County,MI,11949
17145,Perry County,IL,10389
17061,Greene County,IL,5575
12131,Walton County,FL,35522
55029,Door County,WI,21248
45091,York County,SC,134476
37135,Orange County,NC,112671
48255,Karnes County,TX,8686
21115,Johnson County,KY,10903
48323,Maverick County,TX,50335
29131,Miller County,MO,8388
27011,Big Stone County,MN,3078
51035,Carroll County,VA,9701
01071,Jackson County,AL,24652
19049,Dallas County,IA,61091
UNK,Unknown County,SD,17274
29121,Macon County,MO,5929
42013,Blair County,PA,62091
50011,Franklin County,VT,17936
37167,Stanly County,NC,26255
37171,Surry County,NC,36238
55003,Ashland County,WI,10744
55031,Douglas County,WI,18476
48259,Kendall County,TX,28599
12057,Hillsborough County,FL,896784
19083,Hardin County,IA,9273
20203,Wichita County,KS,1056
02195,Petersburg Census Area,AK,2387
41063,Wallowa County,OR,4181
27157,Wabasha County,MN,15525
UNK,Unknown County,FL,190583
30035,Glacier County,MT,11353
17155,Putnam County,IL,3291
30043,Jefferson County,MT,6043
45013,Beaufort County,SC,122706
17175,Stark County,IL,2796
21061,Edmonson County,KY,4108
48461,Upton County,TX,1469
05001,Arkansas County,AR,9492
19029,Cass County,IA,7321
10003,New Castle County,DE,370231
30075,Powder River County,MT,369
09009,New Haven County,CT,641608
39141,Ross County,OH,37809
31101,Keith County,NE,2946
27007,Beltrami County,MN,30541
48445,Terry County,TX,5054
50009,Essex County,VT,2431
38007,Billings County,ND,194
40087,McClain County,OK,18912
35047,San Miguel County,NM,17890
47101,Lewis County,TN,4277
48307,McCulloch County,TX,3017
72071,Isabela Municipio,PR,28768
66010,Guam,GU,98407
08011,Bent County,CO,1444
05123,St. Francis County,AR,12106
18043,Floyd County,IN,43578
31083,Harlan County,NE,1331
48083,Coleman County,TX,2952
54103,Wetzel County,WV,8486
32023,Nye County,NV,21077
02020,Anchorage Municipality,AK,178525
48393,Roberts County,TX,288
13311,White County,GA,10778
72131,San Sebastian Municipio,PR,30098
39011,Auglaize County,OH,17665
20129,Morton County,KS,1052
46009,Bon Homme County,SD,3868
13213,Murray County,GA,14469
26001,Alcona County,MI,5976
13187,Lumpkin County,GA,11313
13055,Chattooga County,GA,9200
55023,Crawford County,WI,9254
41029,Jackson County,OR,125767
54007,Braxton County,WV,6126
38083,Sheridan County,ND,476
55129,Washburn County,WI,9729
48127,Dimmit County,TX,6961
20015,Butler County,KS,31522
28073,Lamar County,MS,36658
13069,Coffee County,GA,15628
19081,Hancock County,IA,5177
32033,White Pine County,NV,4920
47119,Maury County,TN,60354
23017,Oxford County,ME,38616
41005,Clackamas County,OR,281451
02240,Southeast Fairbanks Census Area,AK,2530
37133,Onslow County,NC,116564
55005,Barron County,WI,23664
42017,Bucks County,PA,439877
27147,Steele County,MN,21770
02188,Northwest Arctic Borough,AK,4380
46123,Tripp County,SD,2388
29027,Callaway County,MO,20649
28031,Covington County,MS,9275
13133,Greene County,GA,9717
29167,Polk County,MO,12281
21083,Graves County,KY,16449
72075,Juana Diaz Municipio,PR,32585
06047,Merced County,CA,132090
05075,Lawrence County,AR,7489
12071,Lee County,FL,465436
21109,Jackson County,KY,4720
37103,Jones County,NC,4927
UNK,Unknown County,LA,77498
26005,Allegan County,MI,60113
27031,Cook County,MN,4323
31161,Sheridan County,NE,1629
72027,Camuy Municipio,PR,23086
37017,Bladen County,NC,19984
48477,Washington County,TX,17739
36115,Washington County,NY,39850
51191,Washington County,VA,30129
31089,Holt County,NE,4178
48469,Victoria County,TX,43685
41055,Sherman County,OR,1014
19035,Cherokee County,IA,5832
17057,Fulton County,IL,19390
18063,Hendricks County,IN,119342
19103,Johnson County,IA,107615
05007,Benton County,AR,144842
29225,Webster County,MO,16425
13299,Ware County,GA,13355
48369,Parmer County,TX,3796
13269,Taylor County,GA,3571
26071,Iron County,MI,6159
25019,Nantucket County,MA,0
41043,Linn County,OR,70347
51133,Northumberland County,VA,6453
16023,Butte County,ID,1238
19145,Page County,IA,7905
37053,Currituck County,NC,15794
51650,Hampton city,VA,80306
38071,Ramsey County,ND,6425
13021,Bibb County,GA,68103
47163,Sullivan County,TN,87041
32029,Storey County,NV,881
29031,Cape Girardeau County,MO,37518
18165,Vermillion County,IN,7092
13273,Terrell County,GA,4829
28027,Coahoma County,MS,10984
40023,Choctaw County,OK,5020
48443,Terrell County,TX,402
13163,Jefferson County,GA,8104
02110,Juneau City and Borough,AK,23032
72093,Maricao Municipio,PR,3699
31059,Fillmore County,NE,2810
20053,Ellsworth County,KS,3259
16079,Shoshone County,ID,5437
55097,Portage County,WI,42994
45087,Union County,SC,11072
40145,Wagoner County,OK,37262
47075,Haywood County,TN,8787
UNK,Unknown County,PR,104959
17123,Marshall County,IL,6460
13081,Crisp County,GA,9490
35061,Valencia County,NM,43944
29145,Newton County,MO,14635
13003,Atkinson County,GA,3133
26127,Oceana County,MI,14044
29207,Stoddard County,MO,11240
08013,Boulder County,CO,251412
31109,Lancaster County,NE,207437
38039,Griggs County,ND,1023
48249,Jim Wells County,TX,21221
17047,Edwards County,IL,2530
55027,Dodge County,WI,44603
31155,Saunders County,NE,11028
47135,Perry County,TN,3213
21003,Allen County,KY,8206
37185,Warren County,NC,10665
21137,Lincoln County,KY,9787
21183,Ohio County,KY,9298
21053,Clinton County,KY,4028
27107,Norman County,MN,3763
72085,Las Piedras Municipio,PR,26015
37087,Haywood County,NC,34825
45021,Cherokee County,SC,19223
40009,Beckham County,OK,8764
41021,Gilliam County,OR,844
35043,Sandoval County,NM,102118
48437,Swisher County,TX,2933
37199,Yancey County,NC,9104
36093,Schenectady County,NY,110388
53007,Chelan County,WA,53087
13019,Berrien County,GA,6302
37025,Cabarrus County,NC,119054
56003,Big Horn County,WY,4551
27071,Koochiching County,MN,7049
47053,Gibson County,TN,21689
37115,Madison County,NC,12144
13285,Troup County,GA,25035
40043,Dewey County,OK,1214
30057,Madison County,MT,3755
16035,Clearwater County,ID,3634
16059,Lemhi County,ID,3678
48059,Callahan County,TX,5629
27055,Houston County,MN,10816
05077,Lee County,AR,2876
16029,Caribou County,ID,2789
19039,Clarke County,IA,5030
05081,Little River County,AR,4704
12097,Osceola County,FL,264487
18025,Crawford County,IN,3851
37153,Richmond County,NC,20791
36053,Madison County,NY,42517
53053,Pierce County,WA,565679
31063,Frontier County,NE,705
13095,Dougherty County,GA,41703
16063,Lincoln County,ID,2150
28107,Panola County,MS,15813
29039,Cedar County,MO,4506
38013,Burke County,ND,818
40077,Latimer County,OK,3357
19197,Wright County,IA,7042
46037,Day County,SD,3421
21145,McCracken County,KY,35550
72117,Rincon Municipio,PR,10084
47117,Marshall County,TN,14297
08107,Routt County,CO,19135
12109,St. Johns County,FL,182607
05009,Boone County,AR,13649
42099,Perry County,PA,21819
13185,Lowndes County,GA,45550
51790,Staunton city,VA,11607
21135,Lewis County,KY,5004
30061,Mineral County,MT,2337
48107,Crosby County,TX,2477
31093,Howard County,NE,2663
26121,Muskegon County,MI,93063
04017,Navajo County,AZ,79147
13215,Muscogee County,GA,84300
08007,Archuleta County,CO,7900
17135,Montgomery County,IL,14311
