FIPS,Recip_County,Recip_State,Series_Complete_5Plus
28127,Simpson County,MS,11668
22033,East Baton Rouge Parish,LA,239362
21157,Marshall County,KY,16327
47005,Benton County,TN,6992
45023,Chester County,SC,14456
27143,Sibley County,MN,7072
13259,Stewart County,GA,2089
37191,Wayne County,NC,57724
29059,Dallas County,MO,5783
28089,Madison County,MS,66054
51775,Salem city,VA,0
45055,Kershaw County,SC,37772
51550,Chesapeake city,VA,125353
20087,Jefferson County,KS,10142
12111,St. Lucie County,FL,186744
48145,Falls County,TX,7874
36097,Schuyler County,NY,10883
21221,Trigg County,KY,6704
18011,Boone County,IN,47002
06093,Siskiyou County,CA,22677
42107,Schuylkill County,PA,82949
01063,Greene County,AL,3991
27037,Dakota County,MN,290224
06111,Ventura County,CA,592659
19005,Allamakee County,IA,7128
08043,Fremont County,CO,20535
42031,Clarion County,PA,16495
22017,Caddo Parish,LA,113062
37047,Columbus County,NC,24113
27099,Mower County,MN,24190
06075,San Francisco County,CA,723233
37075,Graham County,NC,4075
48401,Rusk County,TX,20339
39145,Scioto County,OH,36209
41067,Washington County,OR,447123
12077,Liberty County,FL,2821
02290,Yukon-Koyukuk Census Area,AK,3636
46135,Yankton County,SD,14216
21049,Clark County,KY,19313
48015,Austin County,TX,13889
72033,Catano Municipio,PR,16095
42117,Tioga County,PA,18259
27041,Douglas County,MN,21443
25023,Plymouth County,MA,353663
30051,Liberty County,MT,779
48195,Hansford County,TX,2227
31117,McPherson County,NE,69
32019,Lyon County,NV,23359
18151,Steuben County,IN,16084
39025,Clermont County,OH,114816
21031,Butler County,KY,5683
28041,Greene County,MS,4923
49009,Daggett County,UT,612
08014,Broomfield County,CO,55807
37057,Davidson County,NC,77685
02013,Aleutians East Borough,AK,2382
47153,Sequatchie County,TN,5108
02122,Kenai Peninsula Borough,AK,26487
29089,Howard County,MO,4231
26155,Shiawassee County,MI,34301
72047,Corozal Municipio,PR,24744
46115,Spink County,SD,3257
46071,Jackson County,SD,1567
21181,Nicholas County,KY,3782
40025,Cimarron County,OK,668
20163,Rooks County,KS,2321
17043,DuPage County,IL,694095
19031,Cedar County,IA,10981
27085,McLeod County,MN,20218
38049,McHenry County,ND,2371
29213,Taney County,MO,22142
50005,Caledonia County,VT,10744
48271,Kinney County,TX,1804
01035,Conecuh County,AL,5121
06015,Del Norte County,CA,11640
40011,Blaine County,OK,4304
31039,Cuming County,NE,4598
28105,Oktibbeha County,MS,24933
51011,Appomattox County,VA,5136
48485,Wichita County,TX,67817
21047,Christian County,KY,24389
40003,Alfalfa County,OK,2538
51660,Harrisonburg city,VA,20043
39057,Greene County,OH,104202
13263,Talbot County,GA,2924
72103,Naguabo Municipio,PR,15787
UNK,Unknown County,IN,50959
19009,Audubon County,IA,3158
17129,Menard County,IL,6886
37041,Chowan County,NC,7642
49019,Grand County,UT,6400
42071,Lancaster County,PA,313124
48381,Randall County,TX,61963
51145,Powhatan County,VA,11450
56029,Park County,WY,13186
72091,Manati Municipio,PR,28510
39055,Geauga County,OH,56389
56007,Carbon County,WY,6616
51197,Wythe County,VA,10988
19065,Fayette County,IA,10491
08101,Pueblo County,CO,93106
31133,Pawnee County,NE,1115
38051,McIntosh County,ND,1072
51187,Warren County,VA,14624
UNK,Unknown County,AL,185064
17055,Franklin County,IL,16892
37097,Iredell County,NC,92874
47089,Jefferson County,TN,26676
39087,Lawrence County,OH,28516
08005,Arapahoe County,CO,435077
17037,DeKalb County,IL,57696
17091,Kankakee County,IL,55515
22005,Ascension Parish,LA,62719
72055,Guanica Municipio,PR,10773
51600,Fairfax city,VA,15974
02164,Lake and Peninsula Borough,AK,917
21151,Madison County,KY,42749
12043,Glades County,FL,4555
27065,Kanabec County,MN,6823
31069,Garden County,NE,824
29149,Oregon County,MO,3211
05145,White County,AR,34058
55001,Adams County,WI,11193
02016,Aleutians West Census Area,AK,3373
51085,Hanover County,VA,62508
04021,Pinal County,AZ,238644
05117,Prairie County,AR,3406
72125,San German Municipio,PR,22763
27127,Redwood County,MN,7997
16083,Twin Falls County,ID,41935
17137,Morgan County,IL,18056
30059,Meagher County,MT,922
17023,Clark County,IL,7357
21111,Jefferson County,KY,477431
30025,Fallon County,MT,945
18059,Hancock County,IN,51777
31055,Douglas County,NE,367952
24510,Baltimore city,MD,368261
51171,Shenandoah County,VA,21031
47043,Dickson County,TN,25612
13315,Wilcox County,GA,3078
48069,Castro County,TX,3174
28021,Claiborne County,MS,4764
39131,Pike County,OH,11988
48185,Grimes County,TX,14743
31147,Richardson County,NE,4003
47079,Henry County,TN,14764
22065,Madison Parish,LA,4763
27133,Rock County,MN,4901
51770,Roanoke city,VA,40210
13279,Toombs County,GA,11024
29159,Pettis County,MO,17554
48465,Val Verde County,TX,30987
51161,Roanoke County,VA,45943
23007,Franklin County,ME,18869
29025,Caldwell County,MO,3459
12079,Madison County,FL,8327
19189,Winnebago County,IA,5320
05027,Columbia County,AR,11145
42059,Greene County,PA,17740
53031,Jefferson County,WA,24313
04011,Greenlee County,AZ,4071
31077,Greeley County,NE,927
26067,Ionia County,MI,29801
22127,Winn Parish,LA,6375
17105,Livingston County,IL,17771
05035,Crittenden County,AR,20683
47187,Williamson County,TN,154493
05105,Perry County,AR,5290
36069,Ontario County,NY,73630
06027,Inyo County,CA,0
06063,Plumas County,CA,0
56025,Natrona County,WY,35990
02230,Skagway Municipality,AK,845
36081,Queens County,NY,1875585
17035,Cumberland County,IL,4120
48489,Willacy County,TX,13388
51053,Dinwiddie County,VA,13409
16045,Gem County,ID,7071
21057,Cumberland County,KY,2870
54079,Putnam County,WV,32192
17113,McLean County,IL,107223
36051,Livingston County,NY,36812
18123,Perry County,IN,10634
19179,Wapello County,IA,16930
20019,Chautauqua County,KS,1309
19175,Union County,IA,6158
24013,Carroll County,MD,121556
16071,Oneida County,ID,2014
28113,Pike County,MS,19125
40075,Kiowa County,OK,4362
17127,Massac County,IL,5466
17199,Williamson County,IL,36116
48187,Guadalupe County,TX,89699
51107,Loudoun County,VA,293819
40147,Washington County,OK,21860
48151,Fisher County,TX,1363
20097,Kiowa County,KS,1231
13017,Ben Hill County,GA,6268
31163,Sherman County,NE,1167
30107,Wheatland County,MT,750
17049,Effingham County,IL,16242
28123,Scott County,MS,13679
22123,West Carroll Parish,LA,4311
37091,Hertford County,NC,11094
16067,Minidoka County,ID,8301
08111,San Juan County,CO,656
25009,Essex County,MA,566335
47015,Cannon County,TN,4605
46099,Minnehaha County,SD,124426
20155,Reno County,KS,29949
51640,Galax city,VA,0
UNK,Unknown County,TN,80667
54097,Upshur County,WV,11930
28125,Sharkey County,MS,2321
38105,Williams County,ND,11086
29157,Perry County,MO,7419
37085,Harnett County,NC,55280
37113,Macon County,NC,20583
54033,Harrison County,WV,34391
26061,Houghton County,MI,18238
02170,Matanuska-Susitna Borough,AK,40414
17083,Jersey County,IL,11986
54105,Wirt County,WV,2717
