FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
19195,Worth County,IA,58.6,5851.0,1
20169,Saline County,KS,56.1,41595.0,51
22079,Rapides Parish,LA,56.9,97737.0,161
51005,Alleghany County,VA,44.6,12146.0,35
30075,Powder River County,MT,24.5,1399.0,4
31119,Madison County,NE,53.7,26142.0,2
18103,Miami County,IN,47.9,28001.0,44
21025,Breathitt County,KY,56.5,10003.0,33
21007,Ballard County,KY,42.7,6239.0,14
37073,Gates County,NC,57.1,9230.0,5
39057,Greene County,OH,71.4,134183.0,136
17141,Ogle County,IL,63.5,39358.0,15
21027,Breckinridge County,KY,48.8,15872.0,25
21045,Casey County,KY,41.4,12457.0,22
56043,Washakie County,WY,48.2,6021.0,10
29025,Caldwell County,MO,45.1,6923.0,8
31055,Douglas County,NE,72.6,425640.0,50
16057,Latah County,ID,61.5,32723.0,30
21113,Jessamine County,KY,60.0,41273.0,42
22125,West Feliciana Parish,LA,95.6,13012.0,7
48369,Parmer County,TX,48.1,6895.0,5
27121,Pope County,MN,62.5,8885.0,4
48455,Trinity County,TX,44.3,11764.0,37
54007,Braxton County,WV,14.4,11279.0,21
17183,Vermilion County,IL,53.1,58078.0,80
48253,Jones County,TX,48.2,16601.0,22
47141,Putnam County,TN,57.7,63524.0,51
54087,Roane County,WV,6.0,10907.0,17
13005,Bacon County,GA,17.7,8331.0,27
29033,Carroll County,MO,58.3,6723.0,4
36063,Niagara County,NY,72.2,167587.0,79
48233,Hutchinson County,TX,41.6,15631.0,23
18101,Martin County,IN,57.9,7982.0,4
26001,Alcona County,MI,62.6,9092.0,22
19075,Grundy County,IA,70.8,9460.0,5
30049,Lewis and Clark County,MT,65.1,54612.0,53
26011,Arenac County,MI,57.7,12193.0,15
29163,Pike County,MO,43.6,14324.0,17
37027,Caldwell County,NC,52.2,65842.0,123
39071,Highland County,OH,44.0,32974.0,61
19181,Warren County,IA,67.5,38790.0,16
38051,McIntosh County,ND,48.9,2036.0,2
24047,Worcester County,MD,76.5,43376.0,27
54011,Cabell County,WV,26.4,73869.0,114
48285,Lavaca County,TX,49.6,15467.0,24
53035,Kitsap County,WA,70.2,216537.0,145
28027,Coahoma County,MS,58.9,16155.0,30
54071,Pendleton County,WV,45.4,5702.0,6
72075,Juana Diaz Municipio,PR,73.6,36667.0,0
38103,Wells County,ND,50.4,3047.0,2
31047,Dawson County,NE,54.5,17203.0,0
26155,Shiawassee County,MI,57.6,53942.0,52
