FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
28041,Greene County,MS,34.1,10966.0,8
38103,Wells County,ND,45.2,3047.0,0
51049,Cumberland County,VA,7.1,8051.0,1
18027,Daviess County,IN,37.6,23504.0,3
13023,Bleckley County,GA,7.0,10302.0,1
18175,Washington County,IN,42.5,21578.0,12
13295,Walker County,GA,22.7,54746.0,8
19115,Louisa County,IA,54.1,8614.0,0
17021,Christian County,IL,44.2,25804.0,5
19191,Winneshiek County,IA,62.6,16285.0,4
42031,Clarion County,PA,46.4,31247.0,7
21231,Wayne County,KY,36.6,16211.0,6
13217,Newton County,GA,16.0,82882.0,38
08111,San Juan County,CO,90.6,637.0,0
27039,Dodge County,MN,60.1,15575.0,0
18047,Franklin County,IN,33.1,17514.0,0
55133,Waukesha County,WI,70.0,318146.0,91
13109,Evans County,GA,21.1,7842.0,8
51101,King William County,VA,37.7,13236.0,5
06107,Tulare County,CA,51.2,324089.0,35
41071,Yamhill County,OR,62.4,83723.0,15
23023,Sagadahoc County,ME,76.7,29040.0,2
20173,Sedgwick County,KS,50.5,384853.0,103
16077,Power County,ID,54.8,5333.0,0
48307,McCulloch County,TX,0.0,6217.0,2
48465,Val Verde County,TX,0.0,35108.0,5
30065,Musselshell County,MT,34.7,3778.0,3
22073,Ouachita Parish,LA,43.9,115634.0,54
25025,Suffolk County,MA,69.6,672370.0,48
17117,Macoupin County,IL,50.5,35457.0,12
18167,Vigo County,IN,50.9,85233.0,18
48281,Lampasas County,TX,0.0,16799.0,9
48389,Reeves County,TX,0.0,12395.0,3
55049,Iowa County,WI,72.8,18396.0,3
29087,Holt County,MO,42.4,3513.0,2
36079,Putnam County,NY,70.9,79205.0,3
17179,Tazewell County,IL,58.0,102098.0,44
19127,Marshall County,IA,67.4,29419.0,4
39105,Meigs County,OH,36.8,18084.0,3
26043,Dickinson County,MI,69.3,20178.0,0
13183,Long County,GA,5.6,14239.0,3
19087,Henry County,IA,56.0,15666.0,2
13211,Morgan County,GA,22.9,14938.0,1
19053,Decatur County,IA,43.6,6114.0,1
17031,Cook County,IL,63.7,4036995.0,789
51137,Orange County,VA,7.0,29281.0,3
13063,Clayton County,GA,19.6,211634.0,93
08001,Adams County,CO,66.9,382230.0,85
39091,Logan County,OH,39.1,35139.0,4
35049,Santa Fe County,NM,67.6,123964.0,11
08057,Jackson County,CO,43.5,1159.0,0
51109,Louisa County,VA,3.7,30050.0,4
13043,Candler County,GA,16.7,8107.0,5
38057,Mercer County,ND,40.5,6289.0,1
51073,Gloucester County,VA,56.2,29902.0,5
28053,Humphreys County,MS,53.2,5964.0,2
47021,Cheatham County,TN,47.1,31791.0,2
41013,Crook County,OR,50.2,19581.0,12
23001,Androscoggin County,ME,68.1,84964.0,19
01121,Talladega County,AL,30.9,63273.0,19
12065,Jefferson County,FL,57.5,11888.0,1
02090,Fairbanks North Star Borough,AK,53.6,73845.0,13
39087,Lawrence County,OH,28.8,46614.0,22
01067,Henry County,AL,37.3,13697.0,2
13299,Ware County,GA,23.1,27062.0,23
27049,Goodhue County,MN,66.8,36097.0,4
47071,Hardin County,TN,39.0,20420.0,5
20017,Chase County,KS,45.0,2126.0,0
13187,Lumpkin County,GA,7.9,27813.0,16
39093,Lorain County,OH,52.3,242329.0,34
37067,Forsyth County,NC,58.9,295401.0,83
39113,Montgomery County,OH,47.6,414980.0,94
26011,Arenac County,MI,52.0,12193.0,1
26085,Lake County,MI,59.2,9901.0,2
29079,Grundy County,MO,36.8,7480.0,7
51830,Williamsburg city,VA,3.5,13321.0,2
08103,Rio Blanco County,CO,39.9,4785.0,2
13047,Catoosa County,GA,15.1,52313.0,9
28003,Alcorn County,MS,36.6,28644.0,12
17161,Rock Island County,IL,54.6,110321.0,29
27137,St. Louis County,MN,64.9,161450.0,23
13069,Coffee County,GA,27.6,32708.0,19
45057,Lancaster County,SC,40.4,76927.0,19
05059,Hot Spring County,AR,40.6,26808.0,28
17037,DeKalb County,IL,50.0,82430.0,5
54093,Tucker County,WV,32.3,5831.0,0
31071,Garfield County,NE,29.5,1611.0,-2
46091,Marshall County,SD,53.0,3753.0,0
46067,Hutchinson County,SD,46.8,5444.0,2
39035,Cuyahoga County,OH,54.3,980955.0,146
13177,Lee County,GA,13.9,22122.0,5
35001,Bernalillo County,NM,59.8,534057.0,77
53037,Kittitas County,WA,53.4,39869.0,8
18063,Hendricks County,IN,75.3,128279.0,18
40075,Kiowa County,OK,53.5,6616.0,4
17121,Marion County,IL,42.6,28576.0,16
42131,Wyoming County,PA,61.0,21596.0,7
19121,Madison County,IA,57.2,12347.0,0
18045,Fountain County,IN,48.5,12798.0,6
39145,Scioto County,OH,40.5,59037.0,23
40149,Washita County,OK,39.2,8243.0,2
05075,Lawrence County,AR,41.9,12772.0,2
36061,New York County,NY,76.3,1396422.0,183
16003,Adams County,ID,41.7,3549.0,1
46097,Miner County,SD,55.3,1684.0,1
28115,Pontotoc County,MS,41.7,23698.0,12
30059,Meagher County,MT,52.2,1513.0,0
30019,Daniels County,MT,41.6,1338.0,0
19103,Johnson County,IA,72.9,121138.0,5
29211,Sullivan County,MO,43.6,4725.0,0
30027,Fergus County,MT,47.1,8781.0,0
47081,Hickman County,TN,38.8,19996.0,4
72005,Aguadilla Municipio,PR,70.1,41251.0,0
72091,Manati Municipio,PR,70.9,30600.0,0
47149,Rutherford County,TN,50.2,250782.0,43
05115,Pope County,AR,47.0,49561.0,25
27091,Martin County,MN,57.3,15368.0,2
47035,Cumberland County,TN,46.2,50083.0,25
