Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
South Dakota,US,2021-09-29 04:31:45,44.2998,-99.4388,143995,2134,,,46.0,16276.893130573477,942974.0,,1.481995902635508,84000046.0,USA,106591.80543011488,
Tennessee,US,2021-09-29 04:31:45,35.7478,-86.6923,1220784,15047,,,47.0,17876.012530944445,9843343.0,,1.2325685788804572,84000047.0,USA,144136.65547253593,
Texas,US,2021-09-29 04:31:45,31.0545,-97.5635,4070550,64456,,,48.0,13945.125516275915,32705924.0,,1.5940598173073308,84000048.0,USA,112795.06906515446,
Utah,US,2021-09-29 04:31:45,40.15,-111.8624,505004,2905,,,49.0,15752.046658128396,4191379.0,,0.5752429683725278,84000049.0,USA,130737.17746770232,
Vermont,US,2021-09-29 04:31:45,44.0459,-72.7107,33329,313,,,50.0,5341.280054616347,2069120.0,,0.9391220858711632,84000050.0,USA,331595.5890248065,
Virgin Islands,US,2021-09-29 04:31:45,18.3358,-64.8963,6699,71,,,78.0,6245.105716523101,183157.0,,1.0598596805493357,850.0,VIR,170747.10071969277,
Virginia,US,2021-09-29 04:31:45,37.7693,-78.17,860493,12647,,,51.0,10081.320186856829,9230489.0,,1.4697388590029203,84000051.0,USA,108142.09423000524,
Washington,US,2021-09-29 04:31:45,47.4009,-121.4905,652011,7591,,,53.0,8562.313350955817,9842443.0,,1.1642441615248822,84000053.0,USA,129252.54497994916,
West Virginia,US,2021-09-29 04:31:45,38.4912,-80.9545,237002,3578,,,54.0,13224.473215645814,3878343.0,,1.509691901334166,84000054.0,USA,216407.63843590952,
Wisconsin,US,2021-09-29 04:31:45,44.2685,-89.6165,804082,8849,,,55.0,13810.066374303256,10643763.0,,1.1005096495133582,84000055.0,USA,182806.0738859384,
Wyoming,US,2021-09-29 04:31:45,42.756,-107.3025,89430,996,,,56.0,15452.027527865655,978345.0,,1.113720228111372,84000056.0,USA,169041.86371183858,
Alabama,US,2021-09-30 04:31:20,32.3182,-86.9023,794773,14200,,,1.0,16209.321084152443,5744017.0,,1.786673679151154,84000001.0,USA,117148.69008613788,
Alaska,US,2021-09-30 04:31:20,61.3707,-152.4044,113392,567,,,2.0,15500.345159901304,3035204.0,,0.5000352758572033,84000002.0,USA,414903.2527048917,
American Samoa,US,2021-09-30 04:31:20,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-09-30 04:31:20,33.7298,-111.4312,1090839,19959,,,4.0,14986.693396652185,12659075.0,,1.8296925577468357,84000004.0,USA,173919.04369959707,
Arkansas,US,2021-09-30 04:31:20,34.9697,-92.3731,495073,7670,,,5.0,16405.074683445313,3894130.0,,1.5492664718132478,84000005.0,USA,129038.5326548709,
California,US,2021-09-30 07:31:27,36.1162,-119.6816,4735187,68693,,,6.0,11996.773757831848,91949140.0,,1.4491607091020786,84000006.0,USA,232710.62222948077,
Colorado,US,2021-09-30 04:31:20,39.0598,-105.3111,668958,7541,,,8.0,11616.403321840073,11070161.0,,1.127275553921173,84000008.0,USA,192232.47948855444,
Connecticut,US,2021-09-30 04:31:20,41.5978,-72.7554,390180,8629,,,9.0,10943.859498548083,9995719.0,,2.2115433902301502,84000009.0,USA,280362.2541467209,
Delaware,US,2021-09-30 04:31:20,39.3185,-75.5071,132432,1953,,,10.0,13600.009858651583,2207306.0,,1.4747191011235956,84000010.0,USA,226677.7165719825,
Diamond Princess,US,2021-09-30 04:31:20,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-09-30 04:31:20,38.8974,-77.0268,60996,1174,,,11.0,8642.732756263204,2030694.0,,1.924716374844252,84000011.0,USA,287736.0081275354,
Florida,US,2021-09-30 04:31:20,27.7663,-81.6868,3582807,54071,,,12.0,16681.49209574547,39646977.0,,1.5091798134814407,84000012.0,USA,184595.69087748864,
Georgia,US,2021-09-30 04:31:20,33.0406,-83.6431,1573840,25933,,,13.0,14823.182612202603,11473726.0,,1.6477532658974228,84000013.0,USA,108065.07379427191,
Grand Princess,US,2021-09-30 04:31:20,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-09-30 04:31:20,13.4443,144.7937,14897,196,,,66.0,9070.870552703847,224527.0,,1.315701147882124,316.0,GUM,136715.80536933185,
Hawaii,US,2021-09-30 04:31:20,21.0943,-157.4983,78874,770,,,15.0,5570.701306332776,2356163.0,,0.9762405862514896,84000015.0,USA,166410.73486868868,
Idaho,US,2021-09-30 04:31:20,44.2405,-114.4788,255417,2854,,,16.0,14292.541121895398,954395.0,,1.1173884275518071,84000016.0,USA,53405.72391043415,
Illinois,US,2021-09-30 04:31:20,40.3495,-88.9861,1624164,27367,,,17.0,12817.131807654165,31583839.0,,1.6849899394396133,84000017.0,USA,249244.6744631257,
Indiana,US,2021-09-30 04:31:20,39.8494,-86.2583,961004,15625,,,18.0,14274.69902568529,13465955.0,,1.6259037423361402,84000018.0,USA,200022.53343214176,
Iowa,US,2021-09-30 04:31:20,42.0115,-93.2105,451492,6563,,,19.0,14310.047003711486,1661111.0,,1.4536248704295978,84000019.0,USA,52648.94281267928,
Kansas,US,2021-09-30 04:31:20,38.5266,-96.7265,409754,6055,,,20.0,14064.87594540101,1736368.0,,1.4777158978313818,84000020.0,USA,59601.127787804544,
Kentucky,US,2021-09-30 04:31:20,37.6681,-84.6701,688861,8717,,,21.0,15418.787364249802,6849944.0,,1.2654221969308757,84000021.0,USA,153322.41191331597,
Louisiana,US,2021-09-30 04:31:20,31.1695,-91.8678,739661,13900,,,22.0,15910.814718828153,9131105.0,,1.8792392731264729,84000022.0,USA,196418.7916263874,
Maine,US,2021-09-30 04:31:20,44.6939,-69.3819,89064,1022,,,23.0,6625.740582586675,2699945.0,,1.14748944579179,84000023.0,USA,200857.082067412,
Maryland,US,2021-09-30 04:31:20,39.0639,-76.8021,530861,10426,,,24.0,8780.831932884308,12919101.0,,1.96397927141003,84000024.0,USA,213691.44579269824,
Massachusetts,US,2021-09-30 04:31:20,42.2302,-71.5301,810319,18600,,,25.0,11756.52734572622,28463485.0,,2.295392308461236,84000025.0,USA,412962.9686051642,
Michigan,US,2021-09-30 04:31:20,43.3266,-84.5361,1150064,22355,,,26.0,11515.775183323442,16182102.0,,1.9438048665117769,84000026.0,USA,162033.98126157207,
Minnesota,US,2021-09-30 04:31:20,45.6945,-93.9002,708220,8243,,,27.0,12557.911580046357,11146117.0,,1.163903871678292,84000027.0,USA,197639.08354303968,
Mississippi,US,2021-09-30 04:31:20,32.7416,-89.6787,487293,9588,,,28.0,16373.27297793222,2458493.0,,1.9676047059982396,84000028.0,USA,82606.51600440704,
Missouri,US,2021-09-30 04:31:20,38.4561,-92.2884,823600,11966,,,29.0,13419.302026842515,7024475.0,,1.452889752306945,84000029.0,USA,114453.07382832028,
Montana,US,2021-09-30 04:31:20,46.9219,-110.4544,149824,2001,,,30.0,14018.252621217876,1828679.0,,1.3355670653566851,84000030.0,USA,171099.98521676153,
Nebraska,US,2021-09-30 04:31:20,41.1254,-98.2681,265516,2827,,,31.0,13725.956468335531,3661051.0,,1.064719263622531,84000031.0,USA,189259.5047166885,
Nevada,US,2021-09-30 04:31:20,38.3135,-117.0554,420179,7107,,,32.0,13641.48439234896,4358509.0,,1.691421989199841,84000032.0,USA,141502.86543928293,
New Hampshire,US,2021-09-30 04:31:20,43.4525,-71.5639,119720,1479,,,33.0,8804.81219906289,2416459.0,,1.2353825593050451,84000033.0,USA,177718.57402050876,
New Jersey,US,2021-09-30 04:31:20,40.2989,-74.521,1152243,27400,,,34.0,12972.5101579678,15638439.0,,2.377970619044768,84000034.0,USA,176065.12583045394,
New Mexico,US,2021-09-30 04:31:20,34.8405,-106.2485,252017,4788,,,35.0,12018.958150616956,4527892.0,,1.8998718340429412,84000035.0,USA,215939.97412283023,
New York,US,2021-09-30 04:31:20,42.1657,-74.9481,2421755,55310,,,36.0,12448.903313897132,69852546.0,,2.283880904550625,84000036.0,USA,359073.313107045,
North Carolina,US,2021-09-30 04:31:20,35.6301,-79.8064,1390489,16444,,,37.0,13257.79808781089,15637104.0,,1.182605543805093,84000037.0,USA,149094.0003913012,
North Dakota,US,2021-09-30 04:31:20,47.5289,-99.784,131399,1644,,,38.0,17242.560316614657,1757077.0,,1.2511510742090883,84000038.0,USA,230568.7726195507,
Northern Mariana Islands,US,2021-09-30 04:31:20,15.0979,145.6739,269,2,,,69.0,487.81372406789495,17542.0,,0.7434944237918215,580.0,MNP,31811.25779776585,
Ohio,US,2021-09-30 04:31:20,40.3888,-82.7649,1407442,23507,,,39.0,12040.63614820645,16117017.0,,1.6688431921173306,84000039.0,USA,137880.7350437587,
Oklahoma,US,2021-09-30 04:31:20,35.5653,-96.9289,611885,8949,,,40.0,15463.469406270604,4526775.0,,1.462529723722595,84000040.0,USA,114400.0044478466,
Oregon,US,2021-09-30 04:31:20,44.572,-122.0709,328184,3771,,,41.0,7781.044669214794,6904864.0,,1.149050532628038,84000041.0,USA,163710.1602115068,
Pennsylvania,US,2021-09-30 04:31:20,40.5908,-77.2098,1438640,29323,,,42.0,11237.628777840691,17202475.0,,2.038244453094589,84000042.0,USA,134373.45556225677,
