FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
19093,Ida County,IA,59.1,5173.0
06015,Del Norte County,CA,46.3,21990.0
20207,Woodson County,KS,48.9,2465.0
08109,Saguache County,CO,40.2,5381.0
29161,Phelps County,MO,48.1,35235.0
27033,Cottonwood County,MN,64.6,8439.0
26005,Allegan County,MI,59.3,89983.0
50009,Essex County,VT,41.6,5109.0
46033,Custer County,SD,54.2,7646.0
39143,Sandusky County,OH,60.0,45583.0
51085,Hanover County,VA,65.6,84419.0
45049,Hampton County,SC,70.8,15145.0
47045,Dyer County,TN,46.4,28334.0
21159,Martin County,KY,60.9,9018.0
66010,Guam,GU,78.0,114544.0
19045,Clinton County,IA,62.1,35890.0
13091,Dodge County,GA,13.7,16643.0
30107,Wheatland County,MT,41.8,1673.0
21079,Garrard County,KY,54.3,13759.0
28105,Oktibbeha County,MS,54.8,40847.0
20095,Kingman County,KS,55.0,5564.0
48179,Gray County,TX,47.1,16344.0
19109,Kossuth County,IA,60.4,11554.0
26091,Lenawee County,MI,59.1,77991.0
40019,Carter County,OK,50.5,36132.0
27049,Goodhue County,MN,73.0,36097.0
27067,Kandiyohi County,MN,61.5,32536.0
72133,Santa Isabel Municipio,PR,70.7,17406.0
38011,Bowman County,ND,47.2,2286.0
08014,Broomfield County,CO,85.3,54894.0
31007,Banner County,NE,35.9,563.0
39051,Fulton County,OH,60.5,32285.0
12055,Highlands County,FL,56.2,88350.0
48039,Brazoria County,TX,65.0,276544.0
13183,Long County,GA,9.7,14239.0
48407,San Jacinto County,TX,38.9,22737.0
05079,Lincoln County,AR,36.5,10905.0
36097,Schuyler County,NY,68.1,14503.0
39109,Miami County,OH,54.4,82435.0
17195,Whiteside County,IL,64.6,43090.0
17111,McHenry County,IL,72.6,236472.0
28073,Lamar County,MS,67.4,47718.0
22071,Orleans Parish,LA,74.7,312864.0
29023,Butler County,MO,39.5,32589.0
20077,Harper County,KS,55.7,4092.0
