FIPS,Deaths
01001,11
01003,75
01005,9
01007,8
01009,9
01011,0
01013,5
01015,39
01017,4
01019,4
01021,9
01023,1
01025,8
01027,4
01029,5
01031,30
01033,18
01035,7
01037,3
01039,25
01041,3
01043,25
01045,24
01047,17
01049,23
01051,29
01053,14
01055,37
01057,3
01059,7
01061,14
01063,5
01065,4
01067,1
01069,36
01071,13
01073,131
01075,4
01077,20
01079,2
01081,24
01083,21
01085,2
01087,5
01089,51
01091,5
01093,10
01095,26
01097,222
01099,2
01101,53
01103,17
80001,0
01105,2
01107,4
01109,7
01111,12
01113,13
01117,30
01115,21
01119,2
01121,19
01123,11
01125,33
90001,0
01127,19
01129,3
01131,4
01133,5
02013,0
02016,0
02020,36
02050,1
02060,0
02164,0
02063,0
02066,0
02068,0
02070,0
02090,13
02100,0
02110,0
02122,8
02130,1
02150,1
02158,0
02170,20
02180,0
02185,0
02188,1
02195,1
02198,4
02220,2
02230,0
02240,3
90002,0
02261,0
02275,0
02282,0
02290,0
04001,24
04003,22
04005,12
04007,21
04009,11
04011,2
04012,1
04013,904
04015,129
04017,39
80004,0
04019,101
04021,71
04023,9
90004,0
04025,76
04027,27
05001,15
05003,5
05005,49
05007,92
05009,19
05011,3
05013,4
05015,13
05017,1
05019,3
05021,2
05023,7
05025,4
05027,5
05029,7
05031,29
05033,20
05035,13
05037,8
05039,3
05041,0
05043,9
05045,29
05047,7
05049,4
05051,68
05053,12
05055,18
05057,1
05059,27
05061,3
05063,19
05065,10
05067,3
05069,37
05071,10
05073,2
05075,2
05077,6
05079,7
05081,2
05083,9
05085,36
05087,9
05089,19
05091,2
05093,11
05095,4
05097,1
05099,5
05101,3
05103,7
05105,3
05107,20
05109,7
05111,14
05113,16
05115,25
05117,6
05119,150
05121,3
05125,44
05127,5
05129,2
05131,30
05133,7
05135,12
05123,10
05137,6
90005,0
05139,4
05141,11
05143,62
05145,42
05147,5
05149,3
06001,26
06003,0
06005,7
06007,16
06009,9
06011,2
06013,72
06015,5
06017,9
06019,112
06021,3
06023,16
06025,29
06027,3
06029,108
06031,13
06033,31
06035,3
06037,1344
06039,12
06041,12
06043,3
06045,9
06047,53
06049,2
06051,0
06053,160
06055,6
06057,12
06059,258
06061,32
06063,1
06065,211
06067,245
06069,1
06071,696
06073,179
06075,40
06077,203
06079,26
06081,143
06083,28
06085,-199
06087,3
06089,20
06091,0
06093,22
06095,41
06097,34
06099,300
06101,26
06103,18
06105,0
06107,35
06109,13
90006,0
06111,77
06113,23
06115,10
08001,81
08003,9
08005,52
08007,1
08009,1
08011,1
08013,8
08014,1
08015,1
08017,1
08019,1
08021,17
08023,3
08025,3
08027,5
08029,15
08031,62
08033,1
08035,22
08037,6
08041,146
08039,3
08043,16
08045,19
08047,0
08049,0
08051,1
08053,0
08055,0
08057,0
08059,82
08061,0
08063,3
08067,7
08065,1
08069,26
08071,5
08073,1
08075,2
08077,68
08079,0
08081,8
08083,5
08085,18
08087,3
08089,3
08091,2
80008,0
08093,1
08095,0
08097,0
08099,4
08101,59
08103,2
08105,6
08107,1
08109,4
08111,0
08113,2
08115,1
08117,2
08119,5
90008,0
08121,1
08123,28
08125,1
09001,53
09003,72
09005,6
09007,15
09009,88
09011,12
09013,8
90009,1
09015,6
10001,55
10003,123
10005,73
90010,0
88888,0
11001,54
12001,10
12003,2
12005,8
12007,2
12009,53
12011,177
12013,2
12015,21
12017,19
12019,12
12021,23
12023,1
12027,4
12029,0
12031,92
12033,27
12035,3
12037,3
12039,5
12041,1
12043,0
12045,3
12047,0
12049,2
12051,5
12053,23
12055,15
12057,121
12059,0
12061,7
12063,2
12065,1
12067,0
12069,30
12071,50
12073,18
12075,3
12077,0
12079,0
12081,25
12083,41
12085,15
12086,297
12087,3
12089,3
12091,6
12093,1
12095,61
12097,29
12099,113
12101,59
12103,62
12105,77
12107,15
12113,6
12115,32
12117,28
12109,12
12111,31
12119,9
12121,2
12123,2
90012,7580
12125,2
12127,54
12129,1
12131,2
12133,1
13001,4
13003,4
13005,9
13007,2
13009,17
13011,11
13013,18
13015,30
13017,6
13019,9
13021,51
13023,1
13025,12
13027,6
13029,4
13031,20
13033,7
13035,8
13037,2
13039,30
13043,5
13045,17
13047,8
13049,9
13051,57
13053,2
13055,6
13057,36
13059,9
13061,0
13063,92
13065,2
13067,131
13069,19
13071,17
13073,20
13075,4
13077,31
13079,4
13081,16
13083,1
13085,7
13089,115
13087,11
13091,10
13093,3
13095,22
13097,28
13099,2
13101,0
13103,17
13105,3
13107,5
13109,8
13111,7
13113,17
13115,26
13117,26
13119,8
13121,156
13123,11
13125,0
13127,59
13129,17
13131,12
13133,0
13135,104
13137,8
13139,52
13141,6
13143,11
13145,9
13147,7
13149,5
13151,35
13153,28
13155,3
13157,9
13159,3
13161,1
13163,3
13165,1
13167,1
13169,6
13171,10
13173,1
13175,19
13177,3
13179,12
13181,2
13183,3
13185,20
13187,15
13193,8
13195,1
13197,8
13189,6
13191,3
13199,10
13201,1
13205,7
13207,10
13209,2
13211,1
13213,8
13215,69
13217,33
13219,3
13221,3
80013,104
13223,36
13225,16
13227,3
13229,17
13231,7
13233,10
13235,7
13237,7
13239,1
13241,4
13243,1
13245,47
13247,19
13249,0
13251,5
13253,1
13255,25
13257,0
13259,1
13261,8
13263,3
13265,0
13267,16
13269,1
13271,4
13273,3
13275,19
13277,14
13279,14
13281,10
13283,10
13285,29
13287,3
13289,7
90013,-9
13291,13
13293,10
13295,8
13297,17
13299,22
13301,3
13303,6
13305,11
13307,0
13309,2
13311,8
13313,18
13315,2
13317,5
13319,0
13321,4
99999,0
66,9
15001,6
15003,81
15007,1
15009,18
80015,0
90015,0
16001,56
16003,1
16005,17
16007,4
16009,1
16011,4
16013,1
16015,2
16017,7
16019,11
16021,4
16023,0
16025,0
16027,44
16029,0
16031,2
16033,0
16035,3
16037,0
16039,5
16041,3
16043,0
16045,9
16047,4
16049,0
16051,7
16053,5
16055,37
16057,7
16059,1
16061,3
16063,0
16065,1
16067,2
16069,10
16071,0
16073,3
16075,3
16077,0
16079,7
16081,0
16083,18
90016,0
16085,0
16087,3
17001,19
17003,0
17005,0
17007,10
17009,1
17011,4
17013,0
17015,1
17017,3
17019,28
17021,5
17023,4
17025,1
17027,4
17029,10
17031,779
17033,1
17035,2
17039,6
17037,5
17041,1
17043,70
17045,3
17047,1
17049,5
17051,1
17053,6
17055,15
17057,11
17059,0
17061,3
17063,9
17065,2
17067,3
17069,0
17071,0
17073,8
17075,5
17077,8
17079,0
17081,7
17083,3
17085,0
17087,5
17089,63
17091,21
17093,12
17095,19
17099,27
17097,64
17101,4
17103,4
17105,10
17107,11
17115,27
17117,12
17119,36
17121,16
17123,1
17125,7
17127,2
17109,8
17111,20
17113,24
