FIPS,Deaths
01001,35
01003,208
01005,15
01007,20
01009,26
01011,3
01013,21
01015,117
01017,14
01019,12
01021,35
01023,3
01025,20
01027,10
01029,12
01031,67
01033,52
01035,20
01037,8
01039,53
01041,14
01043,82
01045,66
01047,40
01049,61
01051,67
01053,49
01055,118
01057,12
01059,21
01061,46
01063,9
01065,10
01067,17
01069,110
01071,52
01073,288
01075,11
01077,46
01079,10
01081,59
01083,43
01085,7
01087,9
01089,148
01091,24
01093,24
01095,60
01097,459
01099,17
01101,106
01103,66
80001,0
01105,11
01107,17
01109,23
01111,16
01113,19
01117,75
01115,84
01119,5
01121,77
01123,38
01125,107
90001,0
01127,61
01129,10
01131,9
01133,26
02013,0
02016,0
02020,103
02050,4
02060,0
02164,0
02063,0
02066,1
02068,1
02070,3
02090,29
02100,0
02110,4
02122,21
02130,6
02150,2
02158,1
02170,37
02180,0
02185,1
02188,2
02195,2
02198,4
02220,4
02230,0
02240,5
90002,0
02261,0
02275,0
02282,0
02290,1
04001,45
04003,45
04005,20
04007,33
04009,21
04011,5
04012,10
04013,1617
04015,220
04017,69
80004,0
04019,249
04021,145
04023,14
90004,0
04025,140
04027,68
05001,20
05003,8
05005,67
05007,161
05009,34
05011,5
05013,4
05015,22
05017,3
05019,10
05021,8
05023,14
05025,7
05027,10
05029,10
05031,55
05033,46
05035,26
05037,9
05039,3
05041,5
05043,11
05045,53
05047,13
05049,8
05051,110
05053,15
05055,38
05057,5
05059,33
05061,5
05063,29
05065,14
05067,4
05069,58
05071,18
05073,3
05075,9
05077,11
05079,7
05081,3
05083,12
05085,52
05087,12
05089,25
05091,7
05093,22
05095,4
05097,7
05099,6
05101,8
05103,14
05105,10
05107,31
05109,13
05111,19
05113,26
05115,42
05117,7
05119,224
05121,4
05125,69
05127,11
05129,6
05131,71
05133,10
05135,17
05123,17
05137,10
90005,27
05139,14
05141,14
05143,108
05145,63
05147,10
05149,11
06001,73
06003,0
06005,15
06007,45
06009,22
06011,4
06013,133
06015,33
06017,26
06019,286
06021,9
06023,58
06025,36
06027,3
06029,193
06031,55
06033,54
06035,12
06037,2207
06039,31
06041,14
06043,6
06045,32
06047,108
06049,2
06051,0
06053,192
06055,15
06057,17
06059,471
80006,0
06061,94
06063,2
06065,483
06067,497
06069,6
06071,888
06073,375
06075,93
06077,321
06079,69
06081,162
06083,55
06085,-126
06087,7
06089,73
06091,0
06093,31
06095,72
06097,64
06099,325
06101,50
06103,40
06105,7
06107,73
06109,28
90006,0
06111,143
06113,34
06115,22
08001,130
08003,12
08005,99
08007,3
08009,1
08011,2
08013,14
08014,3
08015,3
08017,1
08019,1
08021,20
08023,4
08025,5
08027,5
08029,18
08031,102
08033,1
08035,36
08037,9
08041,226
08039,6
08043,20
08045,21
08047,0
08049,3
08051,3
08053,0
08055,1
08057,0
08059,118
08061,1
08063,3
08067,12
08065,1
08069,49
08071,9
08073,2
08075,8
08077,85
08079,0
08081,10
08083,9
08085,20
08087,4
08089,10
08091,2
80008,0
08093,2
08095,1
08097,1
08099,5
08101,83
08103,4
08105,6
08107,2
08109,3
08111,1
08113,3
08115,2
08117,3
08119,10
90008,0
08121,2
08123,71
08125,1
09001,120
09003,155
09005,20
09007,26
09009,145
09011,43
09013,14
90009,11
09015,19
10001,72
10003,153
10005,103
90010,0
88888,0
11001,71
12001,10
12003,2
12005,8
12007,2
12009,53
12011,177
12013,2
12015,21
12017,19
12019,12
12021,23
12023,1
12027,4
12029,0
12031,92
12033,27
12035,3
12037,3
12039,5
12041,1
12043,0
12045,3
12047,0
12049,2
12051,5
12053,23
12055,15
12057,121
12059,0
12061,7
12063,2
12065,1
12067,0
12069,30
12071,50
12073,18
12075,3
12077,0
12079,0
12081,25
12083,41
12085,15
12086,297
12087,3
12089,3
12091,6
12093,1
12095,61
12097,29
12099,113
12101,59
12103,62
12105,77
12107,15
12113,6
12115,32
12117,28
12109,12
12111,31
12119,9
12121,2
12123,2
90012,18326
12125,2
12127,54
12129,1
12131,2
12133,1
13001,20
13003,10
13005,17
13007,5
13009,42
13011,21
13013,42
13015,89
13017,15
13019,15
13021,133
13023,14
13025,40
13027,16
13029,18
13031,61
13033,12
13035,15
13037,5
13039,51
13043,15
13045,48
13047,22
13049,19
13051,154
13053,2
13055,20
13057,94
13059,22
13061,2
13063,178
13065,7
13067,242
13069,34
13071,49
13073,60
13075,12
13077,91
13079,18
13081,26
13083,3
13085,18
13089,210
13087,24
13091,16
13093,8
13095,73
13097,50
13099,8
13101,0
13103,74
13105,9
13107,23
13109,17
13111,27
13113,41
13115,94
13117,49
13119,21
13121,271
13123,39
13125,0
13127,144
13129,61
13131,23
13133,5
13135,207
13137,21
13139,117
13141,12
13143,22
13145,17
13147,10
13149,13
13151,118
13153,84
13155,4
13157,38
13159,15
13161,11
13163,14
13165,6
13167,8
13169,25
13171,26
13173,2
13175,54
13177,18
13179,26
13181,6
13183,9
13185,75
13187,21
13193,9
13195,9
13197,15
13189,19
13191,12
13199,16
13201,6
13205,15
13207,39
13209,12
13211,8
13213,35
13215,118
13217,76
13219,5
13221,9
80013,245
13223,87
13225,31
13227,24
13229,35
13231,23
13233,43
13235,12
13237,17
13239,2
13241,8
13243,5
13245,117
13247,45
13249,2
13251,20
13253,4
13255,65
13257,14
13259,3
13261,18
13263,5
13265,0
13267,36
13269,9
13271,8
13273,9
13275,44
13277,37
13279,42
13281,20
13283,17
13285,61
13287,9
13289,16
90013,-8
13291,31
13293,31
13295,39
13297,54
13299,52
13301,6
13303,23
13305,68
13307,2
13309,9
13311,36
13313,71
13315,6
13317,7
13319,9
13321,15
99999,0
66,62
15001,38
15003,224
15007,6
15009,36
80015,2
90015,0
16001,186
16003,4
16005,39
16007,9
16009,7
16011,20
16013,3
16015,5
16017,27
16019,27
16021,10
16023,2
16025,1
16027,131
16029,2
16031,5
16033,0
16035,12
16037,2
16039,22
16041,4
16043,1
16045,14
16047,10
16049,8
16051,10
16053,15
16055,116
16057,15
16059,4
16061,8
16063,0
16065,7
16067,7
16069,31
16071,2
16073,8
16075,15
16077,3
16079,18
16081,1
16083,55
90016,0
16085,2
16087,17
17001,29
17003,0
17005,0
17007,12
17009,2
17011,7
17013,0
17015,1
17017,5
17019,44
17021,8
17023,7
17025,6
17027,10
17029,23
17031,1088
17033,4
17035,7
17039,6
17037,14
17041,2
17043,99
17045,6
17047,4
17049,17
17051,4
17053,12
17055,33
17057,19
17059,3
17061,7
17063,11
17065,6
17067,3
17069,3
17071,0
17073,13
17075,12
17077,28
17079,2
17081,18
17083,4
17085,3
17087,14
17089,92
17091,31
17093,16
17095,29
17099,43
17097,92
17101,7
17103,8
17105,12
17107,17
17115,54
17117,21
17119,66
17121,23
17123,3
17125,9
17127,5
17109,12
17111,36
17113,39
17129,1
17131,1
17133,8
17135,4
17137,18
17139,5
17141,7
80017,0
17143,73
17145,13
17147,0
17149,5
17151,1
17153,4
17155,1
17157,14
17159,16
17161,46
17165,15
17167,50
17169,5
17171,4
17173,7
17163,69
17175,4
17177,10
17179,53
90017,94
17181,7
17183,62
17185,6
17187,18
17189,3
17191,6
17193,6
17195,11
17197,123
17199,38
17201,82
17203,19
18001,15
18003,98
18005,19
18007,2
18009,4
18011,11
18013,6
18015,11
18017,13
18019,47
