FIPS,Deaths
01001,22
01003,128
01005,6
01007,12
01009,16
01011,3
01013,16
01015,77
01017,10
01019,8
01021,26
01023,2
01025,12
01027,6
01029,7
01031,36
01033,34
01035,13
01037,4
01039,28
01041,11
01043,48
01045,40
01047,23
01049,37
01051,34
01053,35
01055,79
01057,8
01059,13
01061,31
01063,4
01065,6
01067,14
01069,71
01071,39
01073,151
01075,7
01077,25
01079,8
01081,32
01083,22
01085,5
01087,4
01089,91
01091,16
01093,13
01095,32
01097,232
01099,15
01101,46
01103,46
80001,0
01105,9
01107,13
01109,15
01111,4
01113,5
01117,45
01115,58
01119,2
01121,54
01123,26
01125,70
90001,0
01127,40
01129,7
01131,5
01133,20
02013,0
02016,0
02020,66
02050,3
02060,0
02164,0
02063,0
02066,1
02068,1
02070,3
02090,16
02100,0
02110,4
02122,13
02130,5
02150,1
02158,1
02170,17
02180,0
02185,1
02188,1
02195,1
02198,0
02220,2
02230,0
02240,2
90002,0
02261,0
02275,0
02282,0
02290,1
04001,21
04003,22
04005,8
04007,12
04009,10
04011,3
04012,8
04013,673
04015,87
04017,29
80004,0
04019,143
04021,72
04023,5
90004,0
04025,65
04027,39
05001,5
05003,3
05005,18
05007,69
05009,15
05011,2
05013,0
05015,9
05017,2
05019,7
05021,6
05023,7
05025,3
05027,5
05029,3
05031,26
05033,26
05035,13
05037,1
05039,0
05041,5
05043,2
05045,24
05047,6
05049,4
05051,42
05053,3
05055,20
05057,4
05059,6
05061,2
05063,10
05065,4
05067,1
05069,21
05071,8
05073,1
05075,7
05077,5
05079,0
05081,1
05083,3
05085,16
05087,3
05089,6
05091,5
05093,11
05095,0
05097,6
05099,1
05101,5
05103,7
05105,7
05107,11
05109,6
05111,5
05113,10
05115,17
05117,1
05119,74
05121,1
05125,25
05127,6
05129,4
05131,41
05133,3
05135,5
05123,7
05137,4
90005,0
05139,10
05141,3
05143,46
05145,21
05147,5
05149,8
06001,47
06003,0
06005,8
06007,29
06009,13
06011,2
06013,61
06015,28
06017,17
06019,174
06021,6
06023,42
06025,7
06027,0
06029,82
06031,42
06033,23
06035,9
06037,843
06039,19
06041,2
06043,3
06045,23
06047,55
06049,0
06051,0
06053,32
06055,9
06057,5
06059,209
80006,0
06061,62
06063,1
06065,272
06067,252
06069,5
06071,192
06073,193
06075,53
06077,118
06079,43
06081,19
06083,27
06085,73
06087,4
06089,53
06091,0
06093,9
06095,31
06097,30
06099,25
06101,24
06103,22
06105,7
06107,38
06109,15
90006,0
06111,66
06113,11
06115,12
08001,45
08003,3
08005,37
08007,2
08009,0
08011,1
08013,6
08014,2
08015,2
