FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
31167,Stanton County,NE,30.7,4477.0
13263,Talbot County,GA,30.3,5186.0
50001,Addison County,VT,68.8,30721.0
26047,Emmet County,MI,74.8,27161.0
19111,Lee County,IA,55.1,26512.0
47159,Smith County,TN,34.9,15662.0
18099,Marshall County,IN,49.8,34705.0
42019,Butler County,PA,66.1,150850.0
33005,Cheshire County,NH,64.1,62566.0
72075,Juana Diaz Municipio,PR,69.6,36667.0
55023,Crawford County,WI,61.0,12898.0
54087,Roane County,WV,5.8,10907.0
45057,Lancaster County,SC,44.3,76927.0
08103,Rio Blanco County,CO,42.1,4785.0
31009,Blaine County,NE,25.9,379.0
20127,Morris County,KS,58.1,4453.0
02050,Bethel Census Area,AK,76.4,11848.0
48079,Cochran County,TX,0.0,2088.0
48037,Bowie County,TX,0.0,71264.0
36037,Genesee County,NY,62.5,45674.0
48163,Frio County,TX,0.0,15583.0
29219,Warren County,MO,45.8,27228.0
51550,Chesapeake city,VA,49.9,185721.0
72033,Catano Municipio,PR,69.4,18975.0
42037,Columbia County,PA,64.0,53571.0
51678,Lexington city,VA,42.5,6468.0
36009,Cattaraugus County,NY,57.7,59481.0
36019,Clinton County,NY,73.4,66064.0
17203,Woodford County,IL,57.0,29255.0
18159,Tipton County,IN,49.1,12064.0
30031,Gallatin County,MT,60.0,91888.0
42075,Lebanon County,PA,59.7,109639.0
12047,Hamilton County,FL,37.8,11684.0
48185,Grimes County,TX,0.0,22498.0
47131,Obion County,TN,41.3,23576.0
46067,Hutchinson County,SD,48.6,5444.0
02261,Valdez-Cordova Census Area,AK,62.8,7054.0
54015,Clay County,WV,26.3,6623.0
34031,Passaic County,NJ,71.6,382808.0
18005,Bartholomew County,IN,64.5,63900.0
13123,Gilmer County,GA,14.1,25438.0
28107,Panola County,MS,49.2,25773.0
40027,Cleveland County,OK,53.8,223796.0
06095,Solano County,CA,66.0,349187.0
06059,Orange County,CA,72.4,2486016.0
36097,Schuyler County,NY,65.4,14503.0
35001,Bernalillo County,NM,62.7,534057.0
51133,Northumberland County,VA,58.7,10340.0
39045,Fairfield County,OH,60.4,119925.0
27007,Beltrami County,MN,62.1,35342.0
27003,Anoka County,MN,59.6,272162.0
39001,Adams County,OH,37.0,21111.0
51036,Charles City County,VA,53.0,5939.0
42061,Huntingdon County,PA,53.0,37218.0
26021,Berrien County,MI,58.2,120265.0
37147,Pitt County,NC,53.5,142466.0
26119,Montmorency County,MI,53.5,7948.0
16085,Valley County,ID,62.9,9310.0
48389,Reeves County,TX,0.0,12395.0
06025,Imperial County,CA,81.3,129615.0
39135,Preble County,OH,46.5,31799.0
31119,Madison County,NE,50.6,26142.0
53039,Klickitat County,WA,50.6,18140.0
42003,Allegheny County,PA,69.4,989472.0
17051,Fayette County,IL,32.5,16898.0
17105,Livingston County,IL,46.0,27965.0
37063,Durham County,NC,69.9,255829.0
05133,Sevier County,AR,47.8,12141.0
19141,O'Brien County,IA,57.5,10467.0
47171,Unicoi County,TN,55.3,14568.0
27019,Carver County,MN,68.6,77387.0
18041,Fayette County,IN,42.4,18107.0
39071,Highland County,OH,41.0,32974.0
48205,Hartley County,TX,0.0,4412.0
72139,Trujillo Alto Municipio,PR,50.6,52255.0
01039,Covington County,AL,40.3,28887.0
38045,LaMoure County,ND,53.0,3173.0
29087,Holt County,MO,44.7,3513.0
16045,Gem County,ID,42.1,13979.0
05005,Baxter County,AR,48.6,34462.0
48379,Rains County,TX,0.0,9989.0
13237,Putnam County,GA,13.3,17786.0
05069,Jefferson County,AR,42.3,52303.0
20105,Lincoln County,KS,48.7,2318.0
01127,Walker County,AL,50.0,49388.0
17123,Marshall County,IL,55.2,9119.0
72054,Florida Municipio,PR,82.6,9288.0
38039,Griggs County,ND,52.2,1761.0
29141,Morgan County,MO,42.5,15851.0
51165,Rockingham County,VA,48.7,64120.0
32017,Lincoln County,NV,39.1,4161.0
46075,Jones County,SD,61.6,708.0
34011,Cumberland County,NJ,51.7,114047.0
21075,Fulton County,KY,60.7,4697.0
28063,Jefferson County,MS,70.2,5439.0
02158,Kusilvak Census Area,AK,81.4,4874.0
19057,Des Moines County,IA,55.6,30179.0
21023,Bracken County,KY,53.8,6348.0
20169,Saline County,KS,52.5,41595.0
72009,Aibonito Municipio,PR,88.5,18143.0
27117,Pipestone County,MN,60.4,6743.0
24031,Montgomery County,MD,89.6,808321.0
37021,Buncombe County,NC,65.0,213777.0
46015,Brule County,SD,46.8,3932.0
39157,Tuscarawas County,OH,48.2,70996.0
45047,Greenwood County,SC,52.2,54832.0
